CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;FALSE;FALSE;9;0;1;NA;NA;0.29;2.21;0.45
2;FALSE;FALSE;109;4;2;NA;NA;1.54;0.96;0.9
3;FALSE;FALSE;59;6;1;20;NA;0.92;0.34;0.22
4;FALSE;FALSE;159;2;0;NA;NA;2.17;1.59;0.67
5;FALSE;FALSE;34;5;0;NA;4;1.23;0.65;0.78
6;FALSE;FALSE;134;1;2;NA;NA;2.48;1.9;0.33
7;FALSE;FALSE;84;3;2;NA;NA;0.61;1.27;0.56
8;FALSE;FALSE;183;6;1;9;NA;1.86;0.02;0.11
9;FALSE;FALSE;146;5;0;NA;2;2.01;0.18;0.05
10;FALSE;FALSE;47;2;1;NA;NA;0.76;1.43;0.5
11;FALSE;FALSE;196;0;2;NA;NA;1.39;2.06;0.28
12;FALSE;FALSE;96;3;1;NA;NA;0.14;0.81;0.73
13;FALSE;FALSE;171;4;1;NA;NA;2.33;1.12;0.84
14;TRUE;FALSE;71;1;0;NA;NA;1.08;2.37;0.39
15;FALSE;FALSE;121;2;0;NA;NA;1.7;1.74;0.62
16;FALSE;FALSE;28;1;2;NA;NA;1.78;0.26;0.31
17;FALSE;FALSE;127;4;1;NA;NA;0.53;1.51;0.76
18;FALSE;FALSE;177;3;1;NA;NA;1.15;0.88;0.53
19;FALSE;FALSE;78;6;0;6;NA;2.4;2.13;0.08
20;FALSE;FALSE;103;0;0;NA;NA;0.84;0.57;0.42
21;FALSE;FALSE;3;4;2;NA;NA;2.09;1.82;0.87
22;FALSE;FALSE;53;2;1;NA;NA;1.47;1.2;0.64
23;FALSE;FALSE;152;5;2;NA;3;0.22;2.45;0.19
24;TRUE;FALSE;15;2;0;NA;NA;2.25;1.04;0.59
25;FALSE;FALSE;165;1;1;NA;NA;0.37;0.41;0.36
26;FALSE;FALSE;65;4;2;NA;NA;1.62;1.66;0.81
27;FALSE;FALSE;190;3;0;NA;NA;0.68;1.35;0.7
28;FALSE;FALSE;90;0;1;NA;NA;1.93;0.1;0.25
29;FALSE;FALSE;40;5;0;NA;6;1.31;1.98;0.02
30;FALSE;FALSE;140;1;2;NA;NA;0.06;0.73;0.47
31;FALSE;FALSE;62;0;2;NA;NA;1.19;1.78;0.09
32;FALSE;FALSE;162;3;0;NA;NA;2.44;0.53;0.54
