CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;FALSE;128;2;0;NA;NA;0.89;0.32;0.78
2;FALSE;177;4;1;NA;NA;0.27;2.2;0.56
3;FALSE;78;0;0;NA;NA;1.52;0.95;0.11
4;FALSE;53;3;1;NA;NA;2.45;1.89;0.67
5;FALSE;153;0;2;NA;NA;1.2;0.64;0.22
6;FALSE;3;1;2;NA;NA;1.83;0.01;0.89
7;FALSE;103;5;0;NA;3;0.58;1.26;0.44
8;TRUE;16;4;0;NA;NA;1.36;2.04;0.61
9;FALSE;115;1;2;NA;NA;0.11;0.79;0.16
10;FALSE;165;6;1;10;NA;0.74;1.42;0.39
11;FALSE;66;3;2;NA;NA;1.99;0.17;0.84
12;FALSE;41;0;1;NA;NA;2.3;1.11;0.05
13;FALSE;140;3;2;NA;NA;1.05;2.36;0.5
14;FALSE;190;2;0;NA;NA;0.42;0.48;0.72
15;FALSE;90;5;1;NA;6;1.67;1.73;0.27
16;TRUE;146;0;0;NA;NA;1.6;1.65;0.02
17;FALSE;47;4;2;NA;NA;0.35;0.4;0.47
18;FALSE;97;2;1;NA;NA;0.97;2.28;0.7
19;FALSE;196;5;2;NA;2;2.22;1.03;0.25
20;FALSE;171;3;1;NA;NA;1.28;1.96;0.81
21;FALSE;72;6;0;6;NA;0.03;0.71;0.36
22;FALSE;122;5;1;NA;5;1.91;0.09;0.58
23;FALSE;22;1;2;NA;NA;0.66;1.34;0.13
24;FALSE;134;6;1;5;NA;1.44;1.18;0.3
25;FALSE;34;2;0;NA;NA;0.19;2.43;0.75
26;FALSE;84;4;2;NA;NA;0.81;0.56;0.53
27;FALSE;184;1;1;NA;NA;2.06;1.81;0.08
28;FALSE;59;0;1;NA;NA;0.5;1.5;0.19
29;FALSE;159;3;0;NA;NA;1.75;0.25;0.64
30;TRUE;10;5;0;NA;5;1.13;0.87;0.41
31;FALSE;109;2;2;NA;NA;2.38;2.12;0.86
32;FALSE;19;3;1;NA;NA;1.71;0.68;0.49
33;FALSE;168;1;0;NA;NA;1.09;0.05;0.26
34;FALSE;69;5;1;NA;6;2.34;1.3;0.71
35;FALSE;94;0;2;NA;NA;1.4;0.36;0.37
36;FALSE;193;4;0;NA;NA;0.15;1.61;0.82
37;FALSE;44;6;0;9;NA;2.03;2.24;0.15
38;FALSE;143;2;1;NA;NA;0.78;0.99;0.6
39;FALSE;181;3;2;NA;NA;0.62;1.14;0.65
40;FALSE;81;6;0;18;NA;1.87;2.39;0.2
41;FALSE;131;4;0;NA;NA;1.24;1.77;0.88
42;FALSE;31;1;1;NA;NA;2.49;0.52;0.43
43;FALSE;156;5;2;NA;8;0.93;2.08;0.09
44;FALSE;56;2;0;NA;NA;2.18;0.83;0.54
45;FALSE;106;0;1;NA;NA;0.31;0.21;0.32
46;FALSE;6;3;2;NA;NA;1.56;1.46;0.77
47;FALSE;62;5;2;NA;8;0.23;0.13;0.06
48;FALSE;162;1;1;NA;NA;1.48;1.38;0.51
49;FALSE;112;3;1;NA;NA;2.1;0.75;0.74
50;FALSE;13;0;0;NA;NA;0.85;2;0.29
51;FALSE;87;2;2;NA;NA;1.17;1.69;0.63
52;FALSE;187;6;0;14;NA;2.42;0.44;0.18
53;FALSE;137;1;2;NA;NA;1.79;2.32;0.4
54;FALSE;38;4;1;NA;NA;0.54;1.07;0.85
55;FALSE;174;4;2;NA;NA;1.63;0.91;0.68
56;TRUE;75;1;0;NA;NA;0.38;2.16;0.23
57;FALSE;125;3;0;NA;NA;2.26;1.54;0.46
58;FALSE;25;6;1;13;NA;1.01;0.29;0.01
59;FALSE;199;0;2;NA;NA;1.95;2.47;0.34
60;FALSE;100;4;0;NA;NA;0.7;1.22;0.79
61;FALSE;149;5;1;NA;7;1.32;0.6;0.12
62;FALSE;50;2;2;NA;NA;0.07;1.85;0.57
63;FALSE;45;1;0;NA;NA;1.15;0.23;0.53
