CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;FALSE;173;0;1;NA;NA;0.08;0.94;0.87
2;FALSE;73;4;2;NA;NA;1.33;2.19;0.42
3;FALSE;123;6;1;20;NA;0.71;1.56;0.65
4;FALSE;23;2;0;NA;NA;1.96;0.31;0.2
5;FALSE;98;0;1;NA;NA;2.27;1.25;0.76
6;FALSE;198;3;0;NA;NA;1.02;2.5;0.31
7;FALSE;48;5;0;NA;6;1.65;1.87;0.53
8;FALSE;148;1;2;NA;NA;0.4;0.62;0.08
9;FALSE;86;6;0;16;NA;2.11;1.72;0.48
10;FALSE;185;3;1;NA;NA;0.86;0.47;0.03
11;TRUE;36;1;2;NA;NA;1.49;1.09;0.7
12;TRUE;135;4;0;NA;NA;0.24;2.34;0.25
13;FALSE;111;0;0;NA;NA;1.18;0.78;0.82
14;FALSE;11;3;2;NA;NA;2.43;2.03;0.37
15;FALSE;61;2;1;NA;NA;1.8;0.15;0.14
16;FALSE;160;5;2;NA;3;0.55;1.4;0.59
17;FALSE;117;2;0;NA;NA;1.25;1.95;0.17
18;FALSE;167;4;1;NA;NA;1.88;0.08;0.39
19;TRUE;67;1;0;NA;NA;0.63;1.33;0.84
20;TRUE;142;5;0;NA;2;2.19;1.01;0.51
21;FALSE;42;1;2;NA;NA;0.94;2.26;0.06
22;FALSE;92;3;1;NA;NA;0.32;0.39;0.28
23;FALSE;191;0;2;NA;NA;1.57;1.64;0.73
24;FALSE;79;3;2;NA;NA;0.16;2.42;0
25;FALSE;179;6;1;16;NA;1.41;1.17;0.45
26;FALSE;30;5;0;NA;4;0.79;0.54;0.23
27;FALSE;129;1;2;NA;NA;2.04;1.79;0.68
28;FALSE;104;4;2;NA;NA;1.72;0.23;0.34
29;TRUE;5;0;1;NA;NA;0.47;1.48;0.79
30;FALSE;55;5;1;NA;5;1.1;0.86;0.56
31;FALSE;154;2;0;NA;NA;2.35;2.11;0.11
32;FALSE;2;5;0;NA;8;0.2;0.04;0.69
33;FALSE;164;0;0;NA;NA;1.08;2.25;0.07
34;FALSE;165;1;0;NA;NA;0.95;1.22;0.1
35;TRUE;200;5;0;NA;10;1.17;2.18;0.45
36;FALSE;149;0;1;NA;NA;0.17;1.3;0.69
37;FALSE;119;0;0;NA;NA;2.39;0.92;0.82
38;FALSE;143;2;1;NA;NA;0.54;1.2;0.21
39;FALSE;82;5;1;NA;5;1.69;2.08;0.16
40;FALSE;10;2;1;NA;NA;0.5;0.59;0.69
41;FALSE;114;1;0;NA;NA;0.68;0.96;0.89
42;FALSE;67;1;2;NA;NA;1.24;1.4;0.76
43;TRUE;114;4;2;NA;NA;0.86;1.93;0.57
44;FALSE;47;5;0;NA;4;0.22;2.16;0.69
45;FALSE;74;2;0;NA;NA;0.19;1.61;0.27
46;FALSE;13;4;2;NA;NA;1.1;0.5;0.74
47;FALSE;67;0;0;NA;NA;0.63;0.94;0.36
48;FALSE;121;1;1;NA;NA;2.18;0.81;0.22
49;TRUE;154;4;2;NA;NA;0.88;2.04;0.75
50;FALSE;189;0;1;NA;NA;1.32;1.37;0.75
51;FALSE;161;1;0;NA;NA;1.75;1.91;0.87
52;TRUE;97;1;0;NA;NA;0.72;1.69;0.46
53;FALSE;20;1;0;NA;NA;0.34;0.62;0.61
54;FALSE;155;4;0;NA;NA;1.66;0.61;0.56
55;FALSE;175;4;1;NA;NA;1.01;1.79;0.26
56;FALSE;88;1;1;NA;NA;0.72;0.51;0.6
57;FALSE;93;0;2;NA;NA;1.66;1.43;0.64
58;FALSE;145;4;0;NA;NA;1.52;1.46;0.24
59;FALSE;116;1;0;NA;NA;1.07;0.83;0.88
60;FALSE;134;4;0;NA;NA;0.14;1.71;0.36
61;FALSE;92;1;0;NA;NA;0.99;0.77;0.37
62;FALSE;186;6;0;4;NA;1.56;2.1;0.56
63;FALSE;121;4;2;NA;NA;0.55;1.91;0.34
64;FALSE;102;4;2;NA;NA;0.17;1.65;0.32
65;FALSE;156;0;1;NA;NA;0.15;2.16;0.21
66;FALSE;85;1;0;NA;NA;0.71;1.5;0.29
67;FALSE;66;1;2;NA;NA;1.27;1.85;0.19
68;FALSE;124;1;0;NA;NA;1.59;1.22;0.66
69;FALSE;109;4;2;NA;NA;0.09;2.13;0.24
70;FALSE;115;1;1;NA;NA;1.11;2.05;0.38
71;FALSE;191;3;0;NA;NA;1.26;1.57;0.31
72;FALSE;155;1;1;NA;NA;1.09;2.16;0.69
73;FALSE;45;4;2;NA;NA;0.37;1.88;0.18
74;TRUE;183;1;0;NA;NA;0.85;2.09;0.47
75;FALSE;73;3;0;NA;NA;1.13;1.89;0.44
76;FALSE;68;2;0;NA;NA;1.89;2.42;0.32
77;FALSE;113;4;2;NA;NA;1.57;1.55;0.58
78;TRUE;164;4;0;NA;NA;0.15;2.25;0.48
79;FALSE;177;3;0;NA;NA;0.85;1.69;0.29
80;FALSE;162;4;2;NA;NA;1.56;2.31;0.87
81;TRUE;107;4;0;NA;NA;0.24;2.3;0.11
82;FALSE;166;0;0;NA;NA;0.36;2.43;0.85
83;FALSE;185;6;1;10;NA;0.82;2.42;0.11
84;FALSE;113;1;0;NA;NA;1.4;1.57;0.67
85;FALSE;131;4;0;NA;NA;0.3;1.65;0.08
86;FALSE;85;3;1;NA;NA;0.39;1.14;0.86
87;FALSE;108;4;0;NA;NA;0.2;2.19;0.2
88;TRUE;161;5;0;NA;10;0.72;2.37;0.53
89;FALSE;191;5;0;NA;7;0.78;2.08;0.54
90;FALSE;155;4;0;NA;NA;0.51;2.12;0.35
91;FALSE;191;5;0;NA;10;1.19;1.98;0.51
92;FALSE;193;4;0;NA;NA;0.12;2.06;0.32
93;FALSE;147;4;1;NA;NA;1.11;2.48;0.08
94;FALSE;167;1;0;NA;NA;0.99;2.04;0.41
95;FALSE;187;4;1;NA;NA;0.32;2.03;0.49
96;FALSE;143;4;0;NA;NA;0.21;2.03;0.34
97;FALSE;167;4;2;NA;NA;0.26;2.06;0.15
98;TRUE;109;4;0;NA;NA;0.44;2.26;0.18
99;FALSE;138;4;1;NA;NA;0.47;1.68;0.71
100;FALSE;162;4;0;NA;NA;0.08;1.7;0.4
101;FALSE;145;1;2;NA;NA;1.07;2.04;0.68
102;FALSE;168;4;0;NA;NA;0.1;1.79;0.39
103;TRUE;109;4;0;NA;NA;0.34;2.14;0.25
104;FALSE;120;5;0;NA;2;0.22;2.38;0.29
105;FALSE;176;1;0;NA;NA;0.7;1.43;0.42
106;FALSE;122;4;0;NA;NA;0.64;2.18;0.2
107;FALSE;86;4;0;NA;NA;0.93;2.17;0.02
108;FALSE;176;4;0;NA;NA;1;1.94;0.42
109;FALSE;158;4;0;NA;NA;0.07;2.02;0.68
110;FALSE;92;4;0;NA;NA;0.05;2.46;0.38
111;FALSE;100;4;0;NA;NA;0.24;2.3;0.37
112;FALSE;127;4;0;NA;NA;0.37;2.4;0.32
113;FALSE;188;6;0;11;NA;0.32;2.22;0.45
114;FALSE;174;5;0;NA;10;0.59;2.4;0.43
115;FALSE;176;4;0;NA;NA;0.2;2.36;0.38
116;FALSE;98;4;0;NA;NA;0.29;2.24;0.21
117;FALSE;137;5;0;NA;9;0.46;1.76;0.48
118;FALSE;159;5;0;NA;10;0.84;2.05;0.42
