CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;FALSE;FALSE;38;5;0;NA;2;0.56;0.16;0.04
2;FALSE;FALSE;137;2;1;NA;NA;1.81;1.41;0.49
3;FALSE;FALSE;88;0;2;NA;NA;1.18;2.04;0.26
4;FALSE;FALSE;187;3;1;NA;NA;2.43;0.79;0.71
5;TRUE;FALSE;63;4;2;NA;NA;0.24;1.1;0.82
6;TRUE;FALSE;162;1;0;NA;NA;1.49;2.35;0.37
7;FALSE;FALSE;13;2;1;NA;NA;0.87;1.72;0.6
8;FALSE;FALSE;75;2;0;NA;NA;0.4;1.57;0.65
9;FALSE;FALSE;175;6;1;7;NA;1.65;0.32;0.2
10;FALSE;FALSE;125;0;1;NA;NA;2.27;2.19;0.43
11;FALSE;FALSE;25;4;2;NA;NA;1.02;0.94;0.88
12;FALSE;FALSE;100;6;0;13;NA;0.71;0.01;0.09
13;FALSE;FALSE;200;3;2;NA;NA;1.96;1.26;0.54
14;FALSE;FALSE;150;5;0;NA;3;1.34;0.63;0.77
15;FALSE;FALSE;50;1;1;NA;NA;0.09;1.88;0.32
16;FALSE;FALSE;181;0;2;NA;NA;0.48;0.08;0.23
17;FALSE;FALSE;81;3;0;NA;NA;1.73;1.33;0.68
18;FALSE;FALSE;131;5;1;NA;5;1.1;1.96;0.01
19;FALSE;FALSE;32;1;2;NA;NA;2.35;0.71;0.46
20;TRUE;FALSE;156;4;2;NA;NA;0.79;1.65;0.8
21;FALSE;FALSE;56;1;0;NA;NA;2.04;0.4;0.35
22;FALSE;FALSE;106;2;0;NA;NA;0.16;1.02;0.57
23;FALSE;FALSE;19;0;0;NA;NA;1.57;0.55;0.4
24;TRUE;FALSE;119;4;1;NA;NA;0.32;1.8;0.85
25;FALSE;FALSE;69;5;2;NA;4;2.2;2.43;0.18
26;FALSE;FALSE;168;2;0;NA;NA;0.95;1.18;0.63
27;FALSE;FALSE;94;3;1;NA;NA;1.26;0.86;0.51
28;FALSE;FALSE;193;6;0;19;NA;0.01;2.11;0.06
29;FALSE;FALSE;144;1;2;NA;NA;0.63;0.24;0.29
30;FALSE;FALSE;44;4;1;NA;NA;1.88;1.49;0.74
31;FALSE;FALSE;66;0;1;NA;NA;1.92;1.06;0.08
32;TRUE;FALSE;165;4;0;NA;NA;0.67;2.31;0.53
33;FALSE;FALSE;167;4;2;NA;NA;1.98;1.95;0.71
34;FALSE;FALSE;158;2;1;NA;NA;0.59;0.99;0.56
35;FALSE;FALSE;117;3;1;NA;NA;0.77;0.74;0.38
36;FALSE;FALSE;117;4;2;NA;NA;2.36;0.38;0.26
37;FALSE;FALSE;189;4;1;NA;NA;1.69;1.25;0.77
38;FALSE;FALSE;188;5;1;NA;7;0.16;0.95;0.51
39;FALSE;FALSE;184;3;0;NA;NA;2.25;1.43;0.32
40;FALSE;FALSE;61;1;1;NA;NA;0.9;1.74;0.01
41;FALSE;FALSE;81;0;1;NA;NA;0.28;2.13;0.45
42;FALSE;FALSE;110;4;2;NA;NA;1.09;1.64;0.78
43;FALSE;FALSE;117;2;2;NA;NA;0.26;1.76;0.8
44;FALSE;FALSE;89;4;1;NA;NA;0.26;1.84;0.32
45;FALSE;FALSE;100;5;0;NA;3;1.7;0.94;0.69
46;FALSE;FALSE;66;2;1;NA;NA;0.48;1.72;0.46
47;TRUE;FALSE;120;4;2;NA;NA;2.26;2.15;0.8
48;FALSE;FALSE;124;1;2;NA;NA;1.27;1.31;0.58
49;FALSE;FALSE;135;0;0;NA;NA;0.9;2.48;0.83
50;FALSE;FALSE;92;5;1;NA;3;0.88;1.86;0.66
51;FALSE;FALSE;131;1;0;NA;NA;0.03;0.9;0.1
52;TRUE;FALSE;165;4;2;NA;NA;1.08;1.76;0.86
53;FALSE;FALSE;148;6;1;12;NA;1.3;1.66;0.8
54;FALSE;FALSE;164;2;2;NA;NA;0.83;1.15;0.8
55;FALSE;FALSE;86;5;1;NA;5;0.61;0.88;0.29
56;FALSE;FALSE;130;4;2;NA;NA;0.47;1.28;0.79
57;TRUE;FALSE;135;4;1;NA;NA;0.99;2.3;0.86
58;FALSE;FALSE;110;1;0;NA;NA;0.9;0.71;0.82
59;FALSE;FALSE;137;0;1;NA;NA;0.69;1.27;0.3
60;FALSE;FALSE;143;4;0;NA;NA;0.31;2.27;0.49
61;FALSE;FALSE;127;4;2;NA;NA;0.66;2.45;0.47
62;FALSE;FALSE;118;1;0;NA;NA;1.01;1.89;0.35
63;TRUE;FALSE;196;4;2;NA;NA;1.14;2.28;0.7
64;FALSE;FALSE;190;3;2;NA;NA;0.38;1.69;0.62
65;FALSE;FALSE;184;4;2;NA;NA;1.75;1.12;0.66
66;FALSE;FALSE;191;4;2;NA;NA;1.54;1.93;0.84
67;FALSE;FALSE;190;4;0;NA;NA;1.24;2.11;0.72
68;TRUE;FALSE;153;4;2;NA;NA;2.17;2.26;0.7
69;FALSE;FALSE;151;4;1;NA;NA;0.25;2.19;0.53
70;FALSE;FALSE;124;5;2;NA;2;2.34;1.93;0.83
71;FALSE;FALSE;157;4;1;NA;NA;0.57;1.01;0.88
72;FALSE;FALSE;159;1;2;NA;NA;0.61;1.29;0.85
73;FALSE;FALSE;175;2;2;NA;NA;0.23;2.4;0.86
74;TRUE;FALSE;143;4;0;NA;NA;1.37;2.16;0.61
75;FALSE;FALSE;166;0;0;NA;NA;0.64;1.98;0.76
76;TRUE;FALSE;183;4;0;NA;NA;1.25;1.9;0.56
77;FALSE;FALSE;89;4;1;NA;NA;0.67;2.42;0.68
78;FALSE;FALSE;131;4;1;NA;NA;1.03;2.49;0.63
79;FALSE;FALSE;132;4;2;NA;NA;0.63;1.16;0.89
80;FALSE;FALSE;123;4;0;NA;NA;1.44;1.64;0.64
81;FALSE;FALSE;178;4;2;NA;NA;2.48;2.21;0.76
82;FALSE;FALSE;122;4;0;NA;NA;1.74;1.26;0.84
83;FALSE;FALSE;147;4;0;NA;NA;0.18;1.99;0.54
