CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;FALSE;FALSE;132;2;0;NA;NA;1.54;2.22;0.37
2;FALSE;FALSE;182;4;1;NA;NA;2.17;0.35;0.15
3;FALSE;FALSE;82;0;0;NA;NA;0.92;1.6;0.6
4;FALSE;FALSE;107;6;0;10;NA;2.48;0.66;0.71
5;FALSE;FALSE;7;3;2;NA;NA;1.23;1.91;0.26
6;FALSE;FALSE;157;1;2;NA;NA;1.85;1.28;0.48
7;FALSE;FALSE;57;5;1;NA;9;0.6;0.03;0.03
8;FALSE;FALSE;70;2;2;NA;NA;0.14;2.06;0.32
9;FALSE;FALSE;169;5;1;NA;10;1.39;0.81;0.77
10;FALSE;FALSE;119;0;2;NA;NA;2.01;1.44;0.54
11;FALSE;FALSE;20;3;0;NA;NA;0.76;0.19;0.09
12;FALSE;FALSE;45;1;1;NA;NA;0.45;1.75;0.65
13;FALSE;FALSE;144;4;2;NA;NA;1.7;0.5;0.2
14;FALSE;FALSE;94;6;1;9;NA;1.07;1.13;0.88
15;FALSE;FALSE;194;2;0;NA;NA;2.32;2.38;0.43
16;FALSE;FALSE;138;5;1;NA;8;0.84;1.83;0.79
17;FALSE;FALSE;39;2;0;NA;NA;2.09;0.58;0.34
18;FALSE;FALSE;188;0;1;NA;NA;0.21;1.21;0.57
19;FALSE;FALSE;88;4;2;NA;NA;1.46;2.46;0.12
20;FALSE;FALSE;63;1;1;NA;NA;2.4;0.89;0.46
21;FALSE;FALSE;163;4;0;NA;NA;1.15;2.14;0.01
22;FALSE;FALSE;113;3;2;NA;NA;0.53;0.27;0.23
23;FALSE;FALSE;14;6;0;5;NA;1.78;1.52;0.68
24;FALSE;FALSE;175;1;1;NA;NA;0.68;0.11;0.29
25;TRUE;FALSE;76;5;0;NA;7;1.93;1.36;0.74
26;FALSE;FALSE;126;3;1;NA;NA;0.06;1.99;0.06
27;FALSE;FALSE;26;0;2;NA;NA;1.31;0.74;0.51
28;FALSE;FALSE;101;2;1;NA;NA;1.62;0.42;0.4
29;FALSE;FALSE;150;0;0;NA;NA;1;1.05;0.63
30;FALSE;FALSE;51;4;2;NA;NA;2.25;2.3;0.18
31;TRUE;FALSE;73;0;0;NA;NA;2.21;0.31;0.86
32;FALSE;FALSE;172;3;2;NA;NA;0.96;1.56;0.41
33;FALSE;FALSE;122;1;0;NA;NA;0.33;0.93;0.19
34;FALSE;FALSE;23;5;1;NA;2;1.58;2.18;0.64
35;FALSE;FALSE;48;2;2;NA;NA;1.89;1.24;0.08
36;FALSE;FALSE;147;6;1;14;NA;0.64;2.49;0.53
37;TRUE;FALSE;98;4;0;NA;NA;1.27;1.87;0.3
38;FALSE;FALSE;197;1;2;NA;NA;0.02;0.62;0.75
39;FALSE;FALSE;160;3;1;NA;NA;0.8;0.78;0.13
40;FALSE;FALSE;11;1;0;NA;NA;1.43;0.15;0.81
41;FALSE;FALSE;110;5;1;NA;4;0.18;1.4;0.36
42;FALSE;FALSE;135;0;2;NA;NA;1.11;0.46;0.7
43;FALSE;FALSE;35;4;1;NA;NA;2.36;1.71;0.25
44;FALSE;FALSE;85;2;2;NA;NA;1.74;1.09;0.02
45;TRUE;FALSE;185;5;0;NA;5;0.49;2.34;0.47
46;FALSE;FALSE;178;2;2;NA;NA;2.44;1.79;0.05
47;FALSE;FALSE;79;5;0;NA;3;1.19;0.54;0.5
48;FALSE;FALSE;29;0;1;NA;NA;0.57;2.42;0.72
49;FALSE;FALSE;129;3;0;NA;NA;1.82;1.17;0.27
50;FALSE;FALSE;4;4;2;NA;NA;0.88;0.85;0.39
51;FALSE;FALSE;104;1;1;NA;NA;2.13;2.1;0.84
52;FALSE;FALSE;54;3;0;NA;NA;0.25;1.48;0.16
53;FALSE;FALSE;17;1;1;NA;NA;1.03;1.32;0.22
54;FALSE;FALSE;116;5;2;NA;5;2.28;0.07;0.67
55;FALSE;FALSE;66;3;1;NA;NA;0.41;0.7;0.44
56;FALSE;FALSE;166;0;0;NA;NA;1.66;1.95;0.89
57;FALSE;FALSE;42;6;0;19;NA;0.1;0.39;0.55
58;FALSE;FALSE;141;2;1;NA;NA;1.35;1.64;0.1
59;FALSE;FALSE;91;0;2;NA;NA;0.72;2.26;0.78
60;FALSE;FALSE;191;4;0;NA;NA;1.97;1.01;0.33
61;FALSE;FALSE;65;1;0;NA;NA;1.25;1.19;0.39
62;TRUE;FALSE;164;4;2;NA;NA;2.5;2.44;0.84
63;FALSE;FALSE;115;2;1;NA;NA;1.87;0.56;0.62
64;FALSE;FALSE;140;5;0;NA;3;2.19;1.5;0.06
65;FALSE;FALSE;40;2;1;NA;NA;0.94;0.25;0.51
66;FALSE;FALSE;130;4;1;NA;NA;1.68;0.84;0.57
67;FALSE;FALSE;66;6;0;16;NA;1.56;1.69;0.69
68;FALSE;FALSE;75;2;0;NA;NA;1.57;2.14;0.69
69;FALSE;FALSE;65;5;1;NA;6;2.08;1.71;0.29
70;FALSE;FALSE;77;0;2;NA;NA;1.7;1.45;0.83
71;FALSE;FALSE;171;3;0;NA;NA;0.01;1.44;0.47
72;FALSE;FALSE;118;1;1;NA;NA;0.46;2.15;0.55
73;FALSE;FALSE;133;2;2;NA;NA;2.46;1.6;0.18
74;FALSE;FALSE;147;3;1;NA;NA;1.85;2.2;0.39
75;FALSE;FALSE;142;2;1;NA;NA;1.98;2.25;0.55
76;FALSE;FALSE;60;5;0;NA;9;1.38;0.69;0.49
77;TRUE;FALSE;174;4;0;NA;NA;0.69;2.47;0.29
78;FALSE;FALSE;146;0;0;NA;NA;2.41;1.01;0.09
79;FALSE;FALSE;55;0;1;NA;NA;0.95;2.16;0.6
80;FALSE;FALSE;136;2;2;NA;NA;2.07;2.43;0.77
81;FALSE;FALSE;133;1;1;NA;NA;0.53;1.6;0.2
82;FALSE;FALSE;170;5;2;NA;4;0.72;1.73;0.03
83;FALSE;FALSE;112;6;0;20;NA;2.43;1.93;0.78
84;FALSE;FALSE;83;6;0;13;NA;1.46;2.31;0.34
85;FALSE;FALSE;169;5;1;NA;4;2.33;2.49;0.74
86;FALSE;FALSE;89;6;1;17;NA;1.74;1.69;0.76
87;FALSE;FALSE;168;5;0;NA;2;0.4;2.2;0.32
88;FALSE;FALSE;107;3;1;NA;NA;1.89;1.59;0.86
89;FALSE;FALSE;109;5;2;NA;7;1.37;1.71;0.66
90;FALSE;FALSE;36;5;0;NA;10;0.11;0.78;0.41
91;FALSE;FALSE;189;5;1;NA;4;1.24;1.94;0.37
92;FALSE;FALSE;152;2;2;NA;NA;0.42;1.54;0.7
93;FALSE;FALSE;86;5;0;NA;5;0.05;1.45;0.72
94;FALSE;FALSE;125;4;2;NA;NA;1.23;1.66;0.08
95;FALSE;FALSE;167;3;1;NA;NA;1.8;2.28;0.65
96;FALSE;FALSE;39;6;0;12;NA;2.38;1.82;0.59
97;FALSE;FALSE;61;5;1;NA;4;1.94;2.2;0.62
98;FALSE;FALSE;115;2;1;NA;NA;0.82;1.53;0.06
99;FALSE;FALSE;160;4;0;NA;NA;1.83;1.29;0.38
100;FALSE;FALSE;148;6;1;14;NA;1.21;1.22;0.53
101;FALSE;FALSE;144;1;0;NA;NA;1.6;1.24;0.87
102;FALSE;FALSE;50;5;1;NA;7;1.96;1.43;0.22
103;TRUE;FALSE;167;1;0;NA;NA;1.44;2.37;0.7
104;FALSE;FALSE;181;5;0;NA;3;0.04;1.69;0.39
105;FALSE;FALSE;126;6;1;13;NA;1.26;1.01;0.72
106;FALSE;FALSE;168;5;2;NA;7;1.62;1.49;0.16
107;FALSE;FALSE;47;5;0;NA;5;1.64;1.5;0.58
108;TRUE;FALSE;180;4;2;NA;NA;1.49;2.02;0.87
109;FALSE;FALSE;69;2;0;NA;NA;1.99;1.08;0.53
110;FALSE;FALSE;143;5;2;NA;10;1.47;2.38;0.51
111;FALSE;FALSE;79;1;0;NA;NA;2.17;0.92;0.78
112;FALSE;FALSE;13;2;1;NA;NA;1.92;0.65;0.74
113;FALSE;FALSE;18;1;0;NA;NA;1.1;0.54;0.77
114;FALSE;FALSE;94;4;2;NA;NA;1.76;1.05;0.22
115;FALSE;FALSE;93;2;0;NA;NA;1.05;1.74;0.33
116;FALSE;FALSE;148;4;0;NA;NA;1.71;2.19;0.89
117;FALSE;FALSE;192;4;2;NA;NA;1.61;2.08;0.67
118;FALSE;FALSE;160;1;1;NA;NA;1.02;1.3;0.31
119;FALSE;FALSE;90;5;0;NA;6;1.42;1.74;0.08
120;FALSE;FALSE;37;4;2;NA;NA;2.3;2.08;0.59
121;FALSE;FALSE;148;4;1;NA;NA;2.05;2.47;0.89
122;TRUE;FALSE;151;4;0;NA;NA;1.85;1.7;0.7
123;FALSE;FALSE;137;4;2;NA;NA;1.23;1.33;0.88
124;FALSE;FALSE;162;5;0;NA;6;1.71;2.19;0.88
125;FALSE;FALSE;163;2;2;NA;NA;1.73;2.11;0.82
126;FALSE;FALSE;146;1;0;NA;NA;0.79;2.46;0.79
127;TRUE;FALSE;169;4;0;NA;NA;0.6;2.43;0.39
128;FALSE;FALSE;171;4;0;NA;NA;2.23;2.14;0.9
129;FALSE;FALSE;142;2;2;NA;NA;0.09;2.08;0.25
130;FALSE;FALSE;169;1;1;NA;NA;2.41;1.81;0.82
131;FALSE;FALSE;188;1;0;NA;NA;0.79;2.46;0.19
132;TRUE;FALSE;178;4;0;NA;NA;2.17;2.45;0.8
133;FALSE;FALSE;175;4;0;NA;NA;1.34;2.22;0.73
134;FALSE;FALSE;128;1;0;NA;NA;1.39;2.42;0.73
135;FALSE;FALSE;178;0;0;NA;NA;0.9;2.38;0.35
136;FALSE;FALSE;175;4;2;NA;NA;2.46;2.09;0.81
137;FALSE;FALSE;194;4;2;NA;NA;1;1.45;0.7
138;FALSE;FALSE;187;6;0;18;NA;0.79;2.17;0.25
139;TRUE;FALSE;176;4;2;NA;NA;1.23;2.14;0.86
