CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;TRUE;133;1;0;NA;NA;1.94;1.29;0.17
2;FALSE;34;4;2;NA;NA;0.69;0.04;0.62
3;FALSE;83;3;1;NA;NA;0.07;1.92;0.84
4;FALSE;9;0;2;NA;NA;0.38;1.61;0.06
5;FALSE;108;3;1;NA;NA;1.63;0.36;0.51
6;FALSE;59;5;0;NA;7;1.01;0.98;0.28
7;FALSE;158;2;1;NA;NA;2.26;2.23;0.73
8;FALSE;21;6;0;20;NA;0.22;1.14;0.34
9;FALSE;121;2;2;NA;NA;1.47;2.39;0.79
10;FALSE;171;4;0;NA;NA;2.1;0.51;0.56
11;FALSE;71;0;1;NA;NA;0.85;1.76;0.11
12;FALSE;96;3;2;NA;NA;0.54;0.2;0.67
13;FALSE;195;0;1;NA;NA;1.79;1.45;0.22
14;FALSE;46;1;0;NA;NA;1.16;2.07;0.9
15;FALSE;146;5;2;NA;9;2.41;0.82;0.45
16;FALSE;164;1;2;NA;NA;0.3;1.06;0.08
17;FALSE;65;4;1;NA;NA;1.55;2.31;0.53
18;FALSE;15;2;1;NA;NA;2.18;0.43;0.76
19;FALSE;115;6;0;13;NA;0.93;1.68;0.31
20;FALSE;139;2;0;NA;NA;0.61;0.12;0.87
21;FALSE;40;5;2;NA;7;1.86;1.37;0.42
22;FALSE;189;3;1;NA;NA;1.24;2;0.65
23;FALSE;90;0;0;NA;NA;2.49;0.75;0.2
24;FALSE;52;2;2;NA;NA;1.71;0.59;0.7
25;FALSE;152;5;1;NA;10;0.46;1.84;0.25
26;FALSE;3;4;0;NA;NA;2.33;2.47;0.48
27;FALSE;102;0;2;NA;NA;1.08;1.22;0.03
28;FALSE;28;1;1;NA;NA;1.4;0.9;0.14
29;FALSE;127;5;2;NA;7;0.15;2.15;0.59
30;FALSE;177;3;0;NA;NA;0.77;0.28;0.82
31;FALSE;77;6;1;16;NA;2.02;1.53;0.37
32;FALSE;161;4;2;NA;NA;1.9;1.1;0.83
33;FALSE;62;0;0;NA;NA;0.65;2.35;0.38
34;FALSE;111;2;0;NA;NA;1.28;1.72;0.6
35;FALSE;186;1;1;NA;NA;1.59;2.04;0.27
36;FALSE;87;5;0;NA;6;0.34;0.79;0.72
37;FALSE;136;6;1;12;NA;2.22;0.16;0.04
38;FALSE;37;3;2;NA;NA;0.97;1.41;0.49
39;FALSE;174;3;0;NA;NA;2.37;1.57;0.66
40;FALSE;124;4;1;NA;NA;1.75;0.94;0.89
41;FALSE;24;1;0;NA;NA;0.5;2.19;0.44
42;FALSE;199;5;0;NA;4;1.44;0;0.1
43;FALSE;99;2;2;NA;NA;0.19;1.25;0.55
44;FALSE;149;0;2;NA;NA;2.06;1.88;0.32
45;FALSE;49;3;1;NA;NA;0.81;0.63;0.77
46;FALSE;192;1;2;NA;NA;0.89;0.86;0.52
47;FALSE;93;5;1;NA;4;2.14;2.11;0.07
