network_name;problem_type;number_of_runs;best_known_solution;components;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;average_regular_in_degree;average_elite_in_degree;average_elite_out_degree;best_nodes;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;configurations;regular_configurations;elite_configurations;start_configurations;standard_configurations;end_configurations;regular_start_configurations;regular_standard_configurations;regular_end_configurations;elite_start_configurations;elite_standard_configurations;elite_end_configurations;max_configurations;min_configurations;max_regular_configurations;min_regular_configurations;max_elite_configurations;min_elite_configurations;max_start_configurations;min_start_configurations;max_standard_configurations;min_standard_configurations;max_end_configurations;min_end_configurations;max_regular_start_configurations;min_regular_start_configurations;max_regular_standard_configurations;min_regular_standard_configurations;max_regular_end_configurations;min_regular_end_configurations;max_elite_start_configurations;min_elite_start_configurations;max_elite_standard_configurations;min_elite_standard_configurations;max_elite_end_configurations;min_elite_end_configurations;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate;regular_configurations_rate;elite_configurations_rate;start_configurations_rate;standard_configurations_rate;end_configurations_rate;regular_start_configurations_rate;regular_standard_configurations_rate;regular_end_configurations_rate;elite_start_configurations_rate;elite_standard_configurations_rate;elite_end_configurations_rate
BH-L1;min;20;0.20066729;2642;9084;8692;392;2653;5404;1027;6446;742;0;5704;0.707547169811321;0.755102040816326;16.4438775510204;1;1;0;0.1;0;0;0;NA;NA;9112;8719;393;2602.16666666667;5523.66666666667;986.166666666667;2553;5287;879;49.1666666666667;236.666666666667;107.166666666667;2;1;2;0;2;0;1;0;2;0;2;0;1;0;2;0;2;0;0.5;0;1.5;0;1;0;0.000110083663584324;0.956847203874945;0.043152796125055;0.292051959489212;0.594892118009687;0.113055922501101;0.115110145826869;0;0.884889854173131;0.956870061457419;0.0431299385425812;0.285575797483172;0.606196956394498;0.10822724612233;0.280179982440737;0.580223880597015;0.0964661984196664;0.00539581504243488;0.0259730757974832;0.0117610477026632
BH-L2;min;20;0.20066729;2569;8247;7873;374;2646;4777;824;6115;758;0;5357;0.723358313222406;1.12299465240642;16.3502673796791;1;3;0;0.3;0;0;0;NA;NA;9112;8719;393;2602.16666666667;5523.66666666667;986.166666666667;2553;5287;879;49.1666666666667;236.666666666667;107.166666666667;9;1;7;0;3;0;2;0;8;0;7;0;2;0;7;0;7;0;0.5;0;1.5;0;2.5;0;0.000121256214380987;0.954650175821511;0.0453498241784892;0.320843943252092;0.579240936097975;0.0999151206499333;0.123957481602617;0;0.876042518397383;0.956870061457419;0.0431299385425812;0.285575797483172;0.606196956394498;0.10822724612233;0.280179982440737;0.580223880597015;0.0964661984196664;0.00539581504243488;0.0259730757974832;0.0117610477026632
BH-L3;min;20;0.20066729;2342;6709;6404;305;2580;3655;474;5415;720;0;4695;0.751249219237976;1.98032786885246;17.7540983606557;1;6;16;0.7;0;0;0;NA;NA;9112;8719;393;2602.16666666667;5523.66666666667;986.166666666667;2553;5287;879;49.1666666666667;236.666666666667;107.166666666667;29;1;25;0;6;0;3;0;24;0;13;0;3;0;22;0;10;0;1;0;3;0;5;0;0.000149053510210165;0.9545386793859;0.0454613206141005;0.384558056342227;0.544790579818155;0.0706513638396184;0.132963988919668;0;0.867036011080332;0.956870061457419;0.0431299385425812;0.285575797483172;0.606196956394498;0.10822724612233;0.280179982440737;0.580223880597015;0.0964661984196664;0.00539581504243488;0.0259730757974832;0.0117610477026632
BH-L4;min;20;0.20066729;2004;5437;5180;257;2456;2664;317;4954;664;0;4290;0.808301158301158;2.98443579766537;19.2762645914397;1;11;7;1.4;0;0;0;NA;NA;9112;8719;393;2602.16666666667;5523.66666666667;986.166666666667;2553;5287;879;49.1666666666667;236.666666666667;107.166666666667;68;1;62;0;10;0;3;0;52.5;0;22;0;3;0;51;0;19;0;1.5;0;7.5;0;5;0;0.000183924958616884;0.952731285635461;0.0472687143645393;0.451719698363068;0.48997608975538;0.0583042118815523;0.13403310456197;0;0.86596689543803;0.956870061457419;0.0431299385425812;0.285575797483172;0.606196956394498;0.10822724612233;0.280179982440737;0.580223880597015;0.0964661984196664;0.00539581504243488;0.0259730757974832;0.0117610477026632
BH-L5;min;20;0.20066729;1417;3903;3690;213;2224;1492;187;4490;650;0;3840;1.00027100271003;3.75117370892019;21.0798122065728;1;12;23;4.4;0;0;0;NA;NA;9112;8719;393;2602.16666666667;5523.66666666667;986.166666666667;2553;5287;879;49.1666666666667;236.666666666667;107.166666666667;111;1;95;0;16;0;4;0;87.5;0;27.5;0;4;0;80;0;26;0;1;0;8;0;8.5;0;0.000256213169356905;0.945426594926979;0.0545734050730208;0.569818088649757;0.382270048680502;0.0479118626697412;0.144766146993318;0;0.855233853006682;0.956870061457419;0.0431299385425812;0.285575797483172;0.606196956394498;0.10822724612233;0.280179982440737;0.580223880597015;0.0964661984196664;0.00539581504243488;0.0259730757974832;0.0117610477026632
BH-65-L1;min;20;0.24144377;1292;5908;5522;386;1298;3318;1292;4617;604;0;4013;0.784136182542557;0.743523316062176;11.9611398963731;1;1;0;0.05;0;0;0;NA;NA;5918;5532;386;1247.5;3421;1249.5;1198;3215;1119;49.5;206;130.5;2;1;2;0;1;0;1;0;2;0;2;0;1;0;2;0;2;0;0.5;0;1;0;1;0;0.00016926201760325;0.934664861205146;0.0653351387948544;0.219702098849018;0.561611374407583;0.218686526743399;0.130820879358891;0;0.869179120641109;0.934775261912808;0.0652247380871916;0.210797566745522;0.578066914498141;0.211135518756337;0.202433254477864;0.543257857384251;0.189084150050693;0.00836431226765799;0.0348090571138898;0.0220513687056438
BH-65-L2;min;20;0.24144377;1238;5466;5093;373;1297;3118;1051;4457;622;0;3835;0.803652071470646;0.975871313672922;11.9490616621984;1;1;0;0.1;0;0;0;NA;NA;5918;5532;386;1247.5;3421;1249.5;1198;3215;1119;49.5;206;130.5;5;1;5;0;3;0;2;0;3;0;5;0;2;0;3;0;5;0;0.5;0;1;0;2;0;0.000182949140139041;0.931759970728138;0.0682400292718624;0.237285034760337;0.570435418953531;0.192279546286132;0.139555754992147;0;0.860444245007853;0.934775261912808;0.0652247380871916;0.210797566745522;0.578066914498141;0.211135518756337;0.202433254477864;0.543257857384251;0.189084150050693;0.00836431226765799;0.0348090571138898;0.0220513687056438
BH-65-L3;min;20;0.24144377;1151;4481;4167;314;1285;2584;612;4026;572;0;3454;0.838252939764819;1.69745222929936;12.8216560509554;1;3;11;0.25;0;0;0;NA;NA;5918;5532;386;1247.5;3421;1249.5;1198;3215;1119;49.5;206;130.5;26;1;20;0;6;0;2;0;6.5;0;23.5;0;2;0;5;0;19;0;1;0;2.5;0;5;0;0.000223164472216023;0.929926355724169;0.0700736442758313;0.28676634679759;0.576656996206204;0.136576656996206;0.14207650273224;0;0.85792349726776;0.934775261912808;0.0652247380871916;0.210797566745522;0.578066914498141;0.211135518756337;0.202433254477864;0.543257857384251;0.189084150050693;0.00836431226765799;0.0348090571138898;0.0220513687056438
BH-65-L4;min;20;0.24144377;1034;3686;3407;279;1253;2036;397;3669;581;0;3088;0.89521573231582;2.21863799283154;13.1505376344086;1;4;11;0.35;0;0;0;NA;NA;5918;5532;386;1247.5;3421;1249.5;1198;3215;1119;49.5;206;130.5;50;1;37;0;13;0;3;0;11.5;0;42.5;0;3;0;10;0;33;0;1;0;4.5;0;9.5;0;0.000271296798697775;0.924308193163321;0.0756918068366793;0.339934888768313;0.552360282148671;0.107704829083017;0.158353774870537;0;0.841646225129463;0.934775261912808;0.0652247380871916;0.210797566745522;0.578066914498141;0.211135518756337;0.202433254477864;0.543257857384251;0.189084150050693;0.00836431226765799;0.0348090571138898;0.0220513687056438
BH-65-L5;min;20;0.24144377;813;2848;2615;233;1191;1409;248;3327;546;0;2781;1.00764818355641;2.96995708154506;14.2789699570815;1;6;21;0.6;0;0;0;NA;NA;5918;5532;386;1247.5;3421;1249.5;1198;3215;1119;49.5;206;130.5;59;1;51;0;14;0;3;0;21;0;48.5;0;3;0;17;0;38;0;1;0;5;0;10.5;0;0.000351123595505618;0.918188202247191;0.081811797752809;0.418188202247191;0.494733146067416;0.0870786516853933;0.164111812443643;0;0.835888187556357;0.934775261912808;0.0652247380871916;0.210797566745522;0.578066914498141;0.211135518756337;0.202433254477864;0.543257857384251;0.189084150050693;0.00836431226765799;0.0348090571138898;0.0220513687056438
