network_name;problem_type;number_of_runs;best_known_elite_solution;elite_components;single_elite_components;multiple_elite_components;max_elite_distance;mean_elite_distance;sd_elite_distance;min_nodes_multiple_elite_components;max_nodes_multiple_elite_components;mean_nodes_multiple_elite_components;sd_nodes_multiple_elite_components;elite_nodes;elite_best_nodes;elite_start_nodes;elite_standard_nodes;elite_end_nodes;elite_edges;elite_to_elite_worsening_edges;elite_to_elite_equal_edges;elite_to_elite_improving_edges;elite_to_regular_worsening_edges;elite_to_regular_equal_edges;elite_to_regular_improving_edges;max_elite_to_elite_degree;min_elite_to_elite_degree;average_elite_to_elite_degree;max_in_elite_to_elite_degree;min_in_elite_to_elite_degree;average_in_elite_to_elite_degree;max_out_elite_to_elite_degree;min_out_elite_to_elite_degree;average_out_elite_to_elite_degree;max_out_elite_to_regular_degree;min_out_elite_to_regular_degree;average_out_elite_to_regular_degree;best_elite_nodes_rate;start_elite_nodes_rate;standard_elite_nodes_rate;end_elite_nodes_rate;elite_to_elite_worsening_edges_rate;elite_to_elite_equal_edges_rate;elite_to_elite_improving_edges_rate
BH-L0;min;20;0.14521522;63;29;34;6;3.91176470588235;1.78151530766476;2;24;13.0588235294118;8.18698589029653;473;1;63;456;117;410;265;0;145;557;0;12712;8;0;1.73361522198732;1;0;0.866807610993658;8;0;0.866807610993658;324;0;28.0528541226216;0.00211416490486258;0.133192389006343;0.964059196617336;0.247357293868922;0.646341463414634;0;0.353658536585366
BH-L1;min;20;0.14521522;63;29;34;6;3.91176470588235;1.78151530766476;2;24;13.0588235294118;8.18698589029653;473;1;63;456;117;410;265;0;145;557;0;12712;8;0;1.73361522198732;1;0;0.866807610993658;8;0;0.866807610993658;324;0;28.0528541226216;0.00211416490486258;0.133192389006343;0.964059196617336;0.247357293868922;0.646341463414634;0;0.353658536585366
BH-L2;min;20;0.14521522;56;29;27;7;3.7037037037037;1.93777856190684;2;108;16.2962962962963;20.5535226529978;469;1;63;456;117;433;270;0;163;572;0;12559;9;0;1.84648187633262;3;0;0.923240938166311;8;0;0.923240938166311;324;0;27.997867803838;0.00213219616204691;0.134328358208955;0.97228144989339;0.249466950959488;0.623556581986143;0;0.376443418013857
BH-L3;min;20;0.14521522;34;27;7;27;5;9.71253485622231;2;401;59.5714285714286;150.557693418899;444;1;63;439;109;612;353;0;259;653;0;11722;13;0;2.75675675675676;6;0;1.37837837837838;11;0;1.37837837837838;310;0;27.8716216216216;0.00225225225225225;0.141891891891892;0.988738738738739;0.245495495495495;0.576797385620915;0;0.423202614379085
BH-L4;min;20;0.14521522;27;23;4;24;6.75;11.5;2;380;96.75;188.833921740772;410;1;64;410;102;1018;554;0;464;706;0;10377;26;0;4.96585365853659;11;0;2.48292682926829;20;0;2.48292682926829;291;0;27.0317073170732;0.0024390243902439;0.15609756097561;1;0.248780487804878;0.544204322200393;0;0.455795677799607
BH-L5;min;20;0.14521522;15;12;3;15;5.66666666666667;8.08290376865476;2;361;121.666666666667;207.268746639076;377;1;69;377;100;1500;793;0;707;654;0;9209;34;0;7.95755968169761;14;0;3.97877984084881;24;0;3.97877984084881;278;0;26.1618037135279;0.0026525198938992;0.183023872679045;1;0.26525198938992;0.528666666666667;0;0.471333333333333
BH-90-L0;min;20;0.12464368;79;40;39;6;3.69230769230769;1.86595320855541;2;26;12.1538461538462;8.63755100994447;514;1;79;455;159;435;328;0;107;445;0;9619;8;0;1.69260700389105;1;0;0.846303501945525;7;0;0.846303501945525;112;0;19.579766536965;0.00194552529182879;0.153696498054475;0.885214007782101;0.309338521400778;0.754022988505747;0;0.245977011494253
BH-90-L1;min;20;0.12464368;79;40;39;6;3.69230769230769;1.86595320855541;2;26;12.1538461538462;8.63755100994447;514;1;79;455;159;435;328;0;107;445;0;9617;8;0;1.69260700389105;1;0;0.846303501945525;7;0;0.846303501945525;112;0;19.5758754863813;0.00194552529182879;0.153696498054475;0.885214007782101;0.309338521400778;0.754022988505747;0;0.245977011494253
BH-90-L2;min;20;0.12464368;74;40;34;6;3.47058823529412;1.89473423606371;2;94;13.8529411764706;17.1643258532468;511;1;79;458;157;455;339;0;116;460;0;9374;9;0;1.78082191780822;3;0;0.89041095890411;8;0;0.89041095890411;104;0;19.2446183953033;0.00195694716242661;0.154598825831703;0.896281800391389;0.307240704500978;0.745054945054945;0;0.254945054945055
BH-90-L3;min;20;0.12464368;55;40;15;18;3;4.30945803685667;2;395;30.1333333333333;100.985760429497;492;1;79;458;173;609;398;0;211;520;0;8458;12;0;2.47560975609756;6;0;1.23780487804878;9;0;1.23780487804878;103;0;18.2479674796748;0.00203252032520325;0.160569105691057;0.930894308943089;0.351626016260163;0.653530377668309;0;0.346469622331691
