CONFIG_ID;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;MNRG
1;acs;3;4.44;4.48;0.21;59;0.11;NA;NA;13;1;0.454509493670886
10;acs;3;2.85;3.75;0.87;62;0.3;NA;NA;13;1;0.44628164556962
11;acs;3;4.52;3.61;0.38;64;0.55;NA;NA;13;1;0.435941455696203
12;acs;3;2.55;5.07;0.35;49;0.53;NA;NA;20;1;0.576455696202532
13;acs;3;3.76;2.86;0.42;63;0.37;NA;NA;15;1;0.51368670886076
14;acs;3;3.22;5.19;0.67;64;0.13;NA;NA;12;1;0.43631329113924
15;acs;3;2.77;5.54;0.38;54;0.36;NA;NA;13;1;0.399762658227848
16;acs;3;2.62;5.86;0.3;52;0.24;NA;NA;11;1;0.465696202531646
17;acs;3;2.55;5.03;0.6;55;0.42;NA;NA;9;1;0.430348101265823
18;acs;3;3.38;3.19;0.28;57;0.62;NA;NA;14;1;0.43381329113924
19;acs;3;3.3;1.29;0.2;54;0.84;NA;NA;11;1;0.40496835443038
2;acs;3;2.98;4.99;0.78;70;0.85;NA;NA;15;1;0.448488924050633
20;acs;3;3.58;6.61;0.45;61;0.4;NA;NA;9;1;0.403243670886076
21;acs;3;1.84;3.87;0.96;52;0.21;NA;NA;13;1;0.499232594936709
22;acs;3;3.02;1.13;0.31;53;0.71;NA;NA;15;1;0.483275316455696
23;acs;3;2.44;2.66;0.21;41;0.14;NA;NA;15;1;0.509303797468354
24;acs;3;2.34;8.52;0.65;48;0.5;NA;NA;17;1;0.539667721518987
25;acs;3;4.24;3.94;0.17;58;0.46;NA;NA;13;1;0.441424050632911
26;acs;3;1.68;7.63;0.63;32;0.18;NA;NA;12;1;0.580158227848101
27;acs;3;2.81;3.51;0.47;57;0.48;NA;NA;11;1;0.394098101265823
28;acs;3;3.51;6.62;0.28;59;0.82;NA;NA;17;1;0.508639240506329
29;acs;3;2.13;4.53;0.3;47;0.59;NA;NA;15;1;0.44754746835443
