CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;FALSE;as;1;4.39;5.08;0.52;96;NA;NA;NA;50;1
2;FALSE;FALSE;ras;3;1.89;0.08;0.02;48;NA;67;NA;27;0
3;FALSE;FALSE;mmas;2;0.64;2.58;0.76;72;NA;NA;NA;39;1
4;FALSE;FALSE;acs;0;3.14;7.58;0.27;24;0.52;NA;NA;NA;NA
5;FALSE;FALSE;as;3;2.52;6.33;0.64;60;NA;NA;NA;10;0
6;FALSE;FALSE;eas;1;0.02;1.33;0.14;12;NA;NA;293;33;1
7;FALSE;FALSE;mmas;0;1.27;3.83;0.89;84;NA;NA;NA;NA;NA
8;FALSE;FALSE;ras;2;3.77;8.83;0.39;36;NA;30;NA;45;1
9;FALSE;FALSE;eas;1;3.46;0.71;0.45;54;NA;NA;246;7;1
10;FALSE;FALSE;acs;3;0.96;5.71;0.95;6;0.34;NA;NA;30;0
11;FALSE;FALSE;as;2;2.21;8.21;0.21;78;NA;NA;NA;19;1
12;FALSE;FALSE;ras;0;4.71;3.21;0.7;30;NA;98;NA;NA;NA
13;FALSE;FALSE;acs;1;1.58;6.96;0.82;42;0.96;NA;NA;25;1
14;TRUE;FALSE;mmas;3;4.08;1.96;0.33;90;NA;NA;NA;48;0
15;FALSE;FALSE;eas;2;2.83;4.46;0.58;18;NA;NA;152;13;1
16;FALSE;FALSE;as;0;0.33;9.46;0.08;66;NA;NA;NA;NA;NA
17;FALSE;FALSE;mmas;0;2.99;1.64;0.79;9;NA;NA;NA;NA;NA
18;FALSE;FALSE;ras;2;0.49;6.64;0.3;57;NA;45;NA;20;0
19;FALSE;FALSE;eas;3;1.74;9.14;0.55;33;NA;NA;363;32;1
20;FALSE;FALSE;acs;1;4.24;4.14;0.05;81;0.05;NA;NA;9;0
21;FALSE;FALSE;acs;3;3.61;2.89;0.18;69;0.68;NA;NA;49;1
22;FALSE;FALSE;mmas;1;1.11;7.89;0.67;21;NA;NA;NA;26;0
23;FALSE;FALSE;as;2;4.86;0.39;0.92;45;NA;NA;NA;14;0
24;FALSE;FALSE;ras;0;2.36;5.39;0.42;93;NA;83;NA;NA;NA
25;FALSE;FALSE;as;1;2.05;3.52;0.36;39;NA;NA;NA;29;0
26;FALSE;FALSE;eas;3;4.55;8.52;0.86;87;NA;NA;223;6;1
27;FALSE;FALSE;mmas;2;3.3;6.02;0.11;15;NA;NA;NA;40;0
28;FALSE;FALSE;ras;0;0.8;1.02;0.61;63;NA;77;NA;NA;NA
29;FALSE;FALSE;ras;1;2.67;9.77;0.98;75;NA;14;NA;46;0
30;FALSE;FALSE;as;3;0.17;4.77;0.48;27;NA;NA;NA;23;1
31;FALSE;FALSE;acs;2;1.42;2.27;0.73;99;0.87;NA;NA;35;0
32;FALSE;FALSE;eas;0;3.92;7.27;0.24;51;NA;NA;129;NA;NA
33;FALSE;FALSE;mmas;1;2.44;2.11;0.13;61;NA;NA;NA;12;1
34;FALSE;FALSE;acs;3;4.94;7.11;0.62;13;0.07;NA;NA;35;0
35;FALSE;FALSE;ras;0;1.19;4.61;0.87;37;NA;56;NA;NA;NA
36;FALSE;FALSE;as;2;3.69;9.61;0.38;85;NA;NA;NA;24;1
37;FALSE;FALSE;ras;1;3.07;5.86;0.75;49;NA;44;NA;18;1
38;FALSE;FALSE;mmas;3;0.57;0.86;0.25;97;NA;NA;NA;41;0
39;FALSE;FALSE;as;0;4.32;8.36;0.5;73;NA;NA;NA;NA;NA
40;FALSE;FALSE;eas;2;1.82;3.36;1;25;NA;NA;539;7;1
41;FALSE;FALSE;mmas;0;2.75;2.74;0.56;79;NA;NA;NA;NA;NA
42;FALSE;FALSE;acs;2;0.25;7.74;0.07;31;0.38;NA;NA;50;1
43;FALSE;FALSE;eas;1;4;0.24;0.31;7;NA;NA;680;38;1
44;FALSE;FALSE;as;3;1.5;5.24;0.81;55;NA;NA;NA;15;0
45;FALSE;FALSE;mmas;1;0.88;6.49;0.93;91;NA;NA;NA;44;1
46;FALSE;FALSE;ras;3;3.38;1.49;0.44;43;NA;88;NA;21;0
47;FALSE;FALSE;eas;2;4.63;3.99;0.69;67;NA;NA;398;32;1
48;FALSE;FALSE;acs;0;2.13;8.99;0.19;19;0.76;NA;NA;NA;NA
49;TRUE;FALSE;mmas;3;3.85;3.67;0.1;22;NA;NA;NA;17;1
50;FALSE;FALSE;ras;1;1.35;8.67;0.59;70;NA;34;NA;40;0
51;FALSE;FALSE;acs;2;2.6;1.17;0.84;94;0.6;NA;NA;28;0
52;FALSE;FALSE;eas;0;0.1;6.17;0.35;46;NA;NA;516;NA;NA
53;FALSE;FALSE;as;1;3.22;4.92;0.22;34;NA;NA;NA;34;0
54;FALSE;FALSE;ras;3;0.72;9.92;0.72;82;NA;97;NA;11;1
55;FALSE;FALSE;acs;0;4.47;2.42;0.96;58;0.23;NA;NA;NA;NA
56;FALSE;FALSE;mmas;2;1.97;7.42;0.47;10;NA;NA;NA;45;0
57;FALSE;FALSE;as;0;1.66;0.55;0.65;16;NA;NA;NA;NA;NA
58;FALSE;FALSE;ras;2;4.16;5.55;0.16;64;NA;3;NA;25;0
59;FALSE;FALSE;acs;1;0.41;3.05;0.41;88;0.29;NA;NA;14;0
60;FALSE;FALSE;eas;3;2.91;8.05;0.9;40;NA;NA;750;37;1
61;FALSE;FALSE;as;2;1.03;1.8;0.53;52;NA;NA;NA;8;0
62;FALSE;FALSE;eas;0;3.53;6.8;0.04;100;NA;NA;469;NA;NA
63;FALSE;FALSE;acs;3;2.28;4.3;0.28;76;0.91;NA;NA;43;1
64;FALSE;FALSE;mmas;1;4.78;9.3;0.78;28;NA;NA;NA;20;0
65;FALSE;FALSE;mmas;1;1.46;9.85;0.43;50;NA;NA;NA;41;0
66;TRUE;FALSE;ras;3;3.96;4.85;0.93;98;NA;27;NA;18;1
67;FALSE;FALSE;eas;2;2.71;2.35;0.18;26;NA;NA;580;29;0
68;FALSE;FALSE;acs;0;0.21;7.35;0.68;74;0.66;NA;NA;NA;NA
69;FALSE;FALSE;ras;1;3.34;3.6;0.8;62;NA;90;NA;35;0
70;FALSE;FALSE;as;3;0.84;8.6;0.31;14;NA;NA;NA;12;1
71;FALSE;FALSE;acs;2;2.09;6.1;0.55;86;0.03;NA;NA;46;0
72;FALSE;FALSE;mmas;0;4.59;1.1;0.06;38;NA;NA;NA;NA;NA
73;FALSE;FALSE;ras;1;4.9;7.97;0.24;92;NA;96;NA;21;0
74;FALSE;FALSE;mmas;3;2.4;2.97;0.74;44;NA;NA;NA;44;1
75;FALSE;FALSE;eas;2;1.15;0.47;0.49;68;NA;NA;721;9;0
76;FALSE;FALSE;as;0;3.65;5.47;0.99;20;NA;NA;NA;NA;NA
77;FALSE;FALSE;as;2;4.28;6.72;0.86;32;NA;NA;NA;26;0
78;FALSE;FALSE;ras;0;1.78;1.72;0.37;80;NA;9;NA;NA;NA
79;FALSE;FALSE;acs;3;3.03;9.22;0.12;56;0.47;NA;NA;38;1
80;FALSE;FALSE;eas;1;0.53;4.22;0.62;8;NA;NA;439;15;0
81;FALSE;FALSE;as;1;3.81;1.41;0.71;83;NA;NA;NA;36;1
82;FALSE;FALSE;eas;3;1.31;6.41;0.21;35;NA;NA;416;13;0
83;FALSE;FALSE;mmas;2;0.06;8.91;0.96;59;NA;NA;NA;48;1
84;FALSE;FALSE;acs;0;2.56;3.91;0.46;11;0.37;NA;NA;NA;NA
85;FALSE;FALSE;acs;2;4.43;2.66;0.34;47;1;NA;NA;31;1
86;FALSE;FALSE;eas;0;1.93;7.66;0.83;95;NA;NA;697;NA;NA
87;FALSE;FALSE;mmas;3;3.18;0.16;0.59;71;NA;NA;NA;19;0
88;FALSE;FALSE;ras;1;0.68;5.16;0.09;23;NA;81;NA;42;1
89;FALSE;FALSE;mmas;3;4.75;5.78;0.4;77;NA;NA;NA;34;0
90;FALSE;FALSE;acs;1;2.25;0.78;0.89;29;0.19;NA;NA;11;1
91;FALSE;FALSE;ras;3;4.43;6.07;0.3;19;NA;3;NA;16;0
92;FALSE;FALSE;mmas;0;3.63;0.39;0.43;40;NA;NA;NA;NA;NA
93;FALSE;FALSE;mmas;3;4.52;4.27;0.67;86;NA;NA;NA;43;1
94;FALSE;FALSE;mmas;3;4.71;1.82;0.6;66;NA;NA;NA;48;0
95;FALSE;FALSE;eas;1;2.96;3.91;0.29;74;NA;NA;44;19;1
96;FALSE;FALSE;eas;0;3.1;2.08;0.3;35;NA;NA;639;NA;NA
97;FALSE;FALSE;ras;2;1.02;4.08;0.81;96;NA;28;NA;16;1
98;FALSE;FALSE;acs;3;2.51;5.06;0.81;94;0.64;NA;NA;25;1
99;FALSE;FALSE;acs;3;4.73;0.81;0.9;87;0.72;NA;NA;37;0
100;FALSE;FALSE;mmas;3;0.53;6.46;0.64;69;NA;NA;NA;45;0
101;FALSE;FALSE;mmas;3;1.91;4.35;0.19;64;NA;NA;NA;8;0
