EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;50;1003845712;2000-18.tsp;32500163
2;325;298466939;2000-806.tsp;32925948
3;200;1172643947;2000-504.tsp;32347072
4;282;1000664165;2000-704.tsp;32510413
5;29;1075994872;2000-125.tsp;32497796
6;386;1062706256;2000-926.tsp;32132200
7;263;2139604999;2000-626.tsp;32361511
8;149;2095761030;2000-35.tsp;32308720
9;127;163345548;2000-321.tsp;32479649
10;284;606099628;2000-706.tsp;32145572
11;244;989635037;2000-607.tsp;32701424
12;387;1793625715;2000-927.tsp;32655566
13;253;1736126945;2000-616.tsp;32395386
14;106;224616894;2000-302.tsp;32505593
15;273;1283238536;2000-636.tsp;32462794
16;338;213414111;2000-819.tsp;32513967
17;121;2030297268;2000-316.tsp;32555768
