CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG;QUALITY
1;38475993;39336078.2;5;264;385.2;0.916376306620209;0.956227191636202;18.3956998191508;20.8298954432684;264;385.2;0.916376306620209;0.956227191636202;1.6312110916147
2;33436930;33749741.2;5;232;347;0.804878048780488;0.85935304236854;3.34680475294847;3.66505828193197;232;347;0.804878048780488;0.85935304236854;1.4659551899228
3;33125035;33524405.6;5;214;335.6;0.742160278745645;0.830633541800958;2.40504921125473;2.9739641705435;214;335.6;0.742160278745645;0.830633541800958;1.41696310071928
4;32856391;33131393.4;5;181;298;0.627177700348432;0.737837821096463;1.57454436679771;1.76649822167806;181;298;0.627177700348432;0.737837821096463;1.25866451834102
5;56770912;56917576.8;5;285;399.8;0.989547038327526;0.993294396783692;72.4199770952685;74.8352438484431;285;399.8;0.989547038327526;0.993294396783692;1.69444338274865
6;32294945;32685970.5714286;7;125;198;0.43205574912892;0.548778983203791;0.506485705927388;0.671425902161579;125;198;0.43205574912892;0.548778983203791;0.871590149794256
7;33661118;33850718.2;5;231;349.8;0.801393728222996;0.866214555635394;3.82526571444503;3.97648311018089;231;349.8;0.801393728222996;0.866214555635394;1.4776601243192
8;32798263;33038122.4;5;164;269.8;0.518886679920477;0.675204470610735;0.924576546667965;1.48024934284297;164;269.8;0.518886679920477;0.675204470610735;1.15181939104184
9;33635935;33859775.8;5;229;349.8;0.794425087108014;0.865427547370037;3.70477411918406;4.00459638210563;229;349.8;0.794425087108014;0.865427547370037;1.47631758080771
10;32292583;32696300.8571429;7;123;198.285714285714;0.425087108013937;0.560615449703498;0.499134824257287;0.703246013316102;123;198.285714285714;0.425087108013937;0.560615449703498;0.890389243646732
11;37155503;37527999.6;5;255;369.2;0.885017421602787;0.916777533043547;14.3240512362969;15.2683355713967;255;369.2;0.885017421602787;0.916777533043547;1.56391461519193
12;33056910;33321849.8;5;203;319;0.70383275261324;0.792222828373864;1.83776770584688;2.35117540938989;203;319;0.70383275261324;0.792222828373864;1.35143894252012
13;62749382;65151562;5;287;401.2;0.995708154506438;0.996979845329975;93.9878267807361;100.107393840582;287;401.2;0.995708154506438;0.996979845329975;1.70073032438643
14;33375630;33622248.4;5;224;340.8;0.777003484320557;0.844296868523096;3.17975611517481;3.27404430449498;224;340.8;0.777003484320557;0.844296868523096;1.44027112865705
15;32674161;32851016.4;5;135;236.6;0.466898954703833;0.581657424000122;0.512700346193695;0.905670593525483;135;236.6;0.466898954703833;0.581657424000122;0.992239135059032
16;32891997;33141621;5;184;301.4;0.637630662020906;0.744891206238193;1.68461924467228;1.79802818005869;184;301.4;0.637630662020906;0.744891206238193;1.2706967635828
17;39502595;40094751;5;280;393.6;0.97212543554007;0.977652761857545;21.5458365547274;23.154583165952;280;393.6;0.97212543554007;0.977652761857545;1.66776059375699
18;32674092;33045789.4;5;190;266;0.508946322067594;0.673975673287193;0.886897068342727;1.50200492346552;190;266;0.508946322067594;0.673975673287193;1.14972320737227
19;32972604;33171498.4;5;192;305.4;0.665505226480836;0.756726177817542;1.78114232731352;1.88954037016084;192;305.4;0.665505226480836;0.756726177817542;1.29088583274757
20;33967438;34230051.2;5;246;359.8;0.853658536585366;0.892676351761884;4.70754708652886;5.13959937908298;246;359.8;0.853658536585366;0.892676351761884;1.52280083535851
21;38181936;38572090.8;5;261;379.2;0.905923344947735;0.940222002864485;17.9461807622319;18.4774165501717;261;379.2;0.905923344947735;0.940222002864485;1.60390812253353
22;32825193;33079040.6;5;175;285;0.606271777003484;0.707285359826827;1.4780966883185;1.60561292759477;175;285;0.606271777003484;0.707285359826827;1.20654561382223
23;32667190;32824852.8;5;132;223.2;0.41948310139165;0.558175297507474;0.641434268342382;0.825183793504404;132;223.2;0.41948310139165;0.558175297507474;0.95218138986569
24;33818898;34133311.2;5;239;358.4;0.829268292682927;0.88753132509313;4.39154720547094;4.8449104189517;239;358.4;0.829268292682927;0.88753132509313;1.51402402515887
25;36831284;37398248.6;5;252;369.2;0.874564459930314;0.915715194272244;13.2907293426263;14.8729974392797;252;369.2;0.874564459930314;0.915715194272244;1.56210239022912
26;33994815;34291880.8;5;245;360.8;0.850174216027875;0.894940900805257;5.0939479159041;5.33064818706572;245;360.8;0.850174216027875;0.894940900805257;1.52666388960897
27;33281980;33847294.2;5;243;349.4;0.843205574912892;0.866890984584809;2.40557870432834;3.96304510621718;243;349.4;0.843205574912892;0.866890984584809;1.47881403252703
28;32933203;33203757.8;5;183;310.4;0.634146341463415;0.766102828743333;1.719777362219;1.98933436356937;183;310.4;0.634146341463415;0.766102828743333;1.30688129609157
29;32724963;32888493.4;5;142;248.6;0.491289198606272;0.61503595610448;0.821445110906059;1.02068693737217;142;248.6;0.491289198606272;0.61503595610448;1.04917898394294
30;38735193;39435886.6;5;273;388.4;0.947735191637631;0.964675696165967;19.7486838994268;21.1313875513005;273;388.4;0.947735191637631;0.964675696165967;1.64562324640077
31;32650592;32868010.8;5;134;233.2;0.447316103379722;0.583808649033135;0.7160977932165;0.957853001566725;134;233.2;0.447316103379722;0.583808649033135;0.995908871880054
32;34911984;35155844.6;5;250;365.8;0.867595818815331;0.9075767739087;7.70093262118817;7.98424374392807;250;365.8;0.867595818815331;0.9075767739087;1.54821920255014
33;32884320;33066862.2;5;162;285.2;0.560975609756098;0.703623224674569;1.34838334799047;1.56897412875818;162;285.2;0.560975609756098;0.703623224674569;1.20029844209191
34;33202391;33416831.4;5;212;331.8;0.735191637630662;0.821152460626752;2.49380406210158;2.64328889806665;212;331.8;0.735191637630662;0.821152460626752;1.4007894916574
35;38842871;39598877.4;5;276;390;0.958188153310105;0.968774064614541;20.0815671971794;21.630889793028;276;390;0.958188153310105;0.968774064614541;1.65261458081304
36;33421827;33660450.2;5;226;343;0.78397212543554;0.849270038313985;3.30619880275677;3.39132477217501;226;343;0.78397212543554;0.849270038313985;1.4487547712415
37;32677325;32871596;5;147;240.4;0.508710801393728;0.599505567235458;0.894817915724417;0.968404838112431;147;240.4;0.508710801393728;0.599505567235458;1.02268596763696
38;36906726;37343861.4;5;254;369.2;0.881533101045296;0.916202016840346;13.5585873830848;14.7040216435549;254;369.2;0.881533101045296;0.916202016840346;1.56293285225706
39;32383279;32687716.1428571;7;119;194;0.343936381709742;0.546159220370871;0.50113860029154;0.677373820996885;119;194;0.343936381709742;0.546159220370871;0.867429350000796
40;33874070;34415978.2;5;247;362.2;0.857142857142857;0.89872524794561;4.72066838074247;5.7109163126191;247;362.2;0.857142857142857;0.89872524794561;1.5331195406131
41;32955039;33231254.6;5;191;315;0.662020905923345;0.777562762296481;1.87951169119727;2.07347610224755;191;315;0.662020905923345;0.777562762296481;1.32643059450576
42;33123383;33327029.8;5;196;323;0.679442508710801;0.797820341156721;2.11191489459924;2.36811387344456;196;323;0.679442508710801;0.797820341156721;1.36098764079676
43;32885593;33124809;5;177;293.2;0.608349900596421;0.729486597545012;1.19330246272701;1.74668511275165;177;293.2;0.608349900596421;0.729486597545012;1.24441831345914
44;44225942;44550811.2;5;283;397.4;0.982578397212544;0.987285657678881;36.2673627498895;36.8437831131878;283;397.4;0.982578397212544;0.987285657678881;1.68419318074633
45;32955362;33173146.8;5;180;307;0.623693379790941;0.757056411411202;1.69696252937045;1.89526776289491;180;307;0.623693379790941;0.757056411411202;1.29144917240734
46;34035394;34313470.6;5;244;361.4;0.846689895470383;0.895931754970544;5.2193966736773;5.39736549359509;244;361.4;0.846689895470383;0.895931754970544;1.52835417024387
47;32708731;33087834;5;176;281.2;0.605150214592275;0.702439020458686;1.11805791881256;1.6322957579808;176;281.2;0.605150214592275;0.702439020458686;1.19827832901776
48;38020363;38500883.4;5;271;378.8;0.931330472103004;0.941748834234182;17.3003646554721;18.2540765268078;271;378.8;0.931330472103004;0.941748834234182;1.60651271722302
49;33804627;34085624;5;237;356.6;0.822299651567944;0.883416524400954;4.2426386629779;4.69855014656814;237;356.6;0.822299651567944;0.883416524400954;1.50700465927222
50;32649790;32850922.4;5;97;235.2;0.334494773519164;0.576568550716737;0.355306398467251;0.906472378839418;97;235.2;0.334494773519164;0.576568550716737;0.983558115928551
51;32658875;33267711.4;5;217;305.8;0.562231759656652;0.765113308288444;0.963929594616786;2.18216583915703;217;305.8;0.562231759656652;0.765113308288444;1.3051932906097
52;38254922;38812480.2;5;269;383.6;0.933797909407665;0.952436501476767;18.2639405507862;19.2140722134782;269;383.6;0.933797909407665;0.952436501476767;1.62474462016625
53;67845289;70487685.8;5;288;402.4;1;1;108.768893127399;116.520606639617;288;402.4;1;1;1.70588235294118
54;32770638;32952031.8;5;137;260.4;0.473867595818815;0.644226656392415;0.826986059748378;1.216691468171;137;260.4;0.473867595818815;0.644226656392415;1.09897488443412
55;32989150;33153361.4;5;159;299;0.550522648083624;0.736223072967651;1.25394415371123;1.83581618782385;159;299;0.550522648083624;0.736223072967651;1.25590994800364
56;33099487;33370448;5;201;327.4;0.696864111498258;0.808235459495861;2.32606833780813;2.50095060333404;201;327.4;0.696864111498258;0.808235459495861;1.37875460737529
57;32938342;33120652.6;5;178;299.8;0.616724738675958;0.739637050009786;1.4890017628527;1.7338334332168;178;299.8;0.616724738675958;0.739637050009786;1.26173379119316
58;32682612;32961649;5;156;260.2;0.54006968641115;0.648947248827132;1.0373118160432;1.24509976714699;156;260.2;0.54006968641115;0.648947248827132;1.10702765976393
59;37725696;38335835.4;5;260;375.6;0.902439024390244;0.932880835495145;16.0869370956726;17.7502833336715;260;375.6;0.902439024390244;0.932880835495145;1.59138495466819
60;33880780;34109042.8;5;241;357.6;0.836236933797909;0.886230618049522;4.44548335943933;4.7696959773339;241;357.6;0.836236933797909;0.886230618049522;1.51180517196683
61;33647090;33866594.4;5;236;350.4;0.818815331010453;0.868825178346979;3.97169703446966;4.02455367464279;236;350.4;0.818815331010453;0.868825178346979;1.48211353953308
62;32296472;32599620.4444444;9;59;149.555555555556;0.115308151093439;0.44688357936148;0.233080421823068;0.456548449500643;59;149.555555555556;0.115308151093439;0.44688357936148;0.657181734355117
63;32935639;33200166.8;5;189;308;0.655052264808362;0.76306472802862;1.8195371748021;1.97779691510655;189;308;0.655052264808362;0.76306472802862;1.30169865369588
64;38750187;39530465.2;5;272;389.6;0.944250871080139;0.966332390467564;19.2307466273323;21.423955555933;272;389.6;0.944250871080139;0.966332390467564;1.64844937197408
65;39373506;39585533;5;275;390;0.954703832752613;0.968613874190714;21.1790925503497;21.5922700675283;275;390;0.954703832752613;0.968613874190714;1.65234131479592
66;32864083;32992468;5;157;272;0.543554006968641;0.672643381178269;1.18915756625465;1.34041673258754;157;272;0.543554006968641;0.672643381178269;1.14745047377469
67;32918485;33080359.4;5;173;290;0.599303135888502;0.7160161085071;1.41885749926854;1.61010255868823;173;290;0.599303135888502;0.7160161085071;1.22143924392388
68;33670073;33950290.6;5;234;353.6;0.81184668989547;0.87553357458603;3.99610969439665;4.28240196824066;234;353.6;0.81184668989547;0.87553357458603;1.49355727429382
69;33042384;33438525;5;220;331.8;0.763066202090592;0.822418708989348;2.14953613112185;2.70850737477744;220;331.8;0.763066202090592;0.822418708989348;1.40294956239359
70;32642916;32927347;5;149;247.4;0.515679442508711;0.619366487867475;0.914592826206959;1.13971015125951;149;247.4;0.515679442508711;0.619366487867475;1.05656636165628
71;41259182;42018615.4;5;282;396.4;0.979094076655052;0.984694687558212;27.5515199644654;29.0623020896698;282;396.4;0.979094076655052;0.984694687558212;1.67977329054048
72;33136279;33429423;5;202;330;0.700348432055749;0.814195852800044;2.38770042399387;2.68251796357657;202;330;0.700348432055749;0.814195852800044;1.38892233712949
