EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;223;488158807;2000-527.tsp;32704448
2;126;1331974593;2000-320.tsp;32330902
3;285;1708000527;2000-707.tsp;32562482
4;313;1047854545;2000-735.tsp;32394669
5;286;31830795;2000-708.tsp;32717253
6;295;947122156;2000-717.tsp;32368029
7;144;1773623907;2000-337.tsp;32509011
8;324;1118425013;2000-805.tsp;32771321
9;310;1635958868;2000-732.tsp;32378499
10;78;1290969689;2000-223.tsp;31948363
11;382;1117597248;2000-922.tsp;32797346
12;385;1856085123;2000-925.tsp;32749795
13;128;1869497183;2000-322.tsp;32537574
14;320;1444850780;2000-801.tsp;32625077
15;335;1192207250;2000-816.tsp;32712855
16;108;847864697;2000-304.tsp;32538468
17;175;111783067;2000-420.tsp;32559559
18;156;990270610;2000-401.tsp;32716876
19;273;1322457627;2000-636.tsp;32462794
20;171;198764826;2000-416.tsp;32417779
21;338;1005183959;2000-819.tsp;32513967
22;53;1962775395;2000-20.tsp;32711444
23;215;1485438328;2000-519.tsp;32887968
24;33;1481348341;2000-129.tsp;32543837
