CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;FALSE;eas;0;4.36;7.23;0.61;23;NA;NA;682;NA;NA
2;FALSE;FALSE;acs;2;1.86;2.23;0.11;71;0.81;NA;NA;22;0
3;FALSE;FALSE;mmas;3;0.61;4.73;0.85;47;NA;NA;NA;34;1
4;FALSE;FALSE;ras;1;3.11;9.73;0.36;95;NA;92;NA;11;0
5;FALSE;FALSE;ras;3;4.98;8.48;0.48;59;NA;29;NA;40;1
6;FALSE;FALSE;as;1;2.48;3.48;0.98;11;NA;NA;NA;17;0
7;FALSE;FALSE;mmas;2;3.73;5.98;0.73;35;NA;NA;NA;5;0
8;FALSE;FALSE;acs;0;1.23;0.98;0.24;83;0.44;NA;NA;NA;NA
9;FALSE;FALSE;acs;3;3.42;2.86;0.54;89;0.75;NA;NA;14;1
10;FALSE;FALSE;mmas;1;0.92;7.86;0.05;41;NA;NA;NA;37;0
11;FALSE;FALSE;eas;0;2.17;5.36;0.79;65;NA;NA;635;NA;NA
12;FALSE;FALSE;as;2;4.67;0.36;0.3;17;NA;NA;NA;48;0
13;FALSE;FALSE;acs;1;4.04;4.11;0.67;53;0.12;NA;NA;43;0
14;FALSE;FALSE;eas;3;1.54;9.11;0.17;5;NA;NA;541;20;1
15;FALSE;FALSE;ras;2;0.29;6.61;0.92;77;NA;73;NA;31;0
16;FALSE;FALSE;as;0;2.79;1.61;0.42;29;NA;NA;NA;NA;NA
17;TRUE;FALSE;ras;3;2.32;0.05;0.64;26;NA;39;NA;38;0
18;FALSE;FALSE;mmas;1;4.82;5.05;0.14;74;NA;NA;NA;15;1
19;FALSE;FALSE;eas;2;1.07;2.55;0.39;98;NA;NA;564;27;1
20;FALSE;FALSE;acs;0;3.57;7.55;0.88;50;0.59;NA;NA;NA;NA
21;FALSE;FALSE;mmas;0;1.7;3.8;0.27;62;NA;NA;NA;NA;NA
22;FALSE;FALSE;acs;2;4.2;8.8;0.76;14;0.22;NA;NA;9;1
23;FALSE;FALSE;as;3;2.95;6.3;0.02;86;NA;NA;NA;44;0
24;FALSE;FALSE;eas;1;0.45;1.3;0.51;38;NA;NA;471;21;1
25;FALSE;FALSE;ras;1;1.39;6.92;0.45;20;NA;83;NA;35;1
26;FALSE;FALSE;mmas;3;3.89;1.92;0.95;68;NA;NA;NA;12;0
27;FALSE;FALSE;eas;2;2.64;4.42;0.2;44;NA;NA;705;47;1
28;FALSE;FALSE;as;0;0.14;9.42;0.7;92;NA;NA;NA;NA;NA
29;FALSE;FALSE;eas;1;3.26;0.67;0.82;80;NA;NA;424;41;1
30;FALSE;FALSE;acs;3;0.76;5.67;0.33;32;0.28;NA;NA;18;0
31;FALSE;FALSE;as;2;2.01;8.17;0.58;56;NA;NA;NA;30;1
32;FALSE;FALSE;ras;0;4.51;3.17;0.08;8;NA;20;NA;NA;NA
33;FALSE;FALSE;mmas;2;4.9;3.95;0.06;93;NA;NA;NA;22;1
34;FALSE;FALSE;acs;0;2.4;8.95;0.56;45;0.83;NA;NA;NA;NA
35;FALSE;FALSE;as;1;1.15;6.45;0.31;69;NA;NA;NA;10;1
36;FALSE;FALSE;ras;3;3.65;1.45;0.81;21;NA;9;NA;33;0
37;FALSE;FALSE;mmas;0;3.03;2.7;0.19;57;NA;NA;NA;NA;NA
38;FALSE;FALSE;ras;2;0.53;7.7;0.68;9;NA;97;NA;16;1
39;FALSE;FALSE;as;3;1.78;5.2;0.44;81;NA;NA;NA;50;0
40;FALSE;FALSE;eas;1;4.28;0.2;0.93;33;NA;NA;107;27;1
41;FALSE;FALSE;as;0;3.96;8.33;0.87;99;NA;NA;NA;NA;NA
42;FALSE;FALSE;eas;2;1.46;3.33;0.37;51;NA;NA;342;42;1
43;FALSE;FALSE;acs;1;2.71;5.83;0.13;27;0.64;NA;NA;30;1
44;FALSE;FALSE;mmas;3;0.21;0.83;0.62;75;NA;NA;NA;7;0
45;FALSE;FALSE;eas;1;2.09;2.08;0.75;87;NA;NA;61;48;1
46;TRUE;FALSE;acs;3;4.59;7.08;0.25;39;0.01;NA;NA;25;0
47;FALSE;FALSE;as;2;3.34;9.58;0.99;63;NA;NA;NA;36;1
48;FALSE;FALSE;ras;0;0.84;4.58;0.5;15;NA;28;NA;NA;NA
49;FALSE;FALSE;mmas;0;1.31;0.52;0.03;36;NA;NA;NA;NA;NA
50;FALSE;FALSE;ras;2;3.81;5.52;0.53;84;NA;81;NA;37;0
51;FALSE;FALSE;eas;3;2.56;8.02;0.28;12;NA;NA;178;26;1
52;FALSE;FALSE;acs;1;0.06;3.02;0.78;60;0.36;NA;NA;49;0
53;FALSE;FALSE;mmas;1;4.43;9.27;0.41;48;NA;NA;NA;32;0
54;FALSE;FALSE;acs;3;1.93;4.27;0.9;96;0.98;NA;NA;9;1
55;FALSE;FALSE;ras;0;3.18;6.77;0.65;72;NA;44;NA;NA;NA
56;FALSE;FALSE;as;2;0.68;1.77;0.16;24;NA;NA;NA;43;0
57;FALSE;FALSE;eas;0;0.37;6.14;0.96;18;NA;NA;318;NA;NA
58;FALSE;FALSE;acs;2;2.87;1.14;0.47;66;0.55;NA;NA;17;0
59;FALSE;FALSE;as;3;4.12;3.64;0.71;42;NA;NA;NA;29;1
60;FALSE;FALSE;ras;1;1.62;8.64;0.22;90;NA;62;NA;6;0
61;FALSE;FALSE;eas;3;1;9.89;0.1;54;NA;NA;37;46;1
62;FALSE;FALSE;as;1;3.5;4.89;0.59;6;NA;NA;NA;23;0
63;FALSE;FALSE;mmas;2;2.25;7.39;0.84;30;NA;NA;NA;12;0
64;FALSE;FALSE;ras;0;4.75;2.39;0.34;78;NA;50;NA;NA;NA
65;FALSE;FALSE;acs;3;0.1;2.16;0.4;45;0.62;NA;NA;5;0
66;FALSE;FALSE;mmas;1;2.6;7.16;0.89;93;NA;NA;NA;28;1
67;FALSE;FALSE;as;2;1.35;4.66;0.64;69;NA;NA;NA;40;1
68;FALSE;FALSE;eas;0;3.85;9.66;0.15;21;NA;NA;90;NA;NA
69;FALSE;FALSE;as;0;0.72;3.41;0.52;81;NA;NA;NA;NA;NA
70;FALSE;FALSE;ras;2;3.22;8.41;0.03;33;NA;33;NA;34;1
71;FALSE;FALSE;eas;3;4.47;5.91;0.77;57;NA;NA;371;23;0
72;FALSE;FALSE;acs;1;1.97;0.91;0.27;9;0.24;NA;NA;46;1
73;FALSE;FALSE;ras;0;2.91;4.03;0.83;39;NA;90;NA;NA;NA
74;FALSE;FALSE;mmas;2;0.41;9.03;0.34;87;NA;NA;NA;14;1
75;FALSE;FALSE;as;1;4.16;1.53;0.09;63;NA;NA;NA;26;1
76;FALSE;FALSE;eas;3;1.66;6.53;0.58;15;NA;NA;230;49;0
77;FALSE;FALSE;ras;1;1.04;5.28;0.71;51;NA;2;NA;8;1
78;FALSE;FALSE;as;3;3.54;0.28;0.21;99;NA;NA;NA;31;0
79;FALSE;FALSE;acs;2;4.79;2.78;0.95;27;0.93;NA;NA;20;1
80;FALSE;FALSE;mmas;0;2.29;7.78;0.46;75;NA;NA;NA;NA;NA
81;FALSE;FALSE;eas;1;0.25;4.34;0.24;30;NA;NA;254;50;0
82;FALSE;FALSE;acs;3;2.75;9.34;0.74;78;0.4;NA;NA;27;1
83;FALSE;FALSE;mmas;2;4;6.84;0.49;6;NA;NA;NA;39;0
84;FALSE;FALSE;ras;0;1.5;1.84;0.99;54;NA;86;NA;NA;NA
85;TRUE;FALSE;mmas;3;2.13;3.09;0.12;18;NA;NA;NA;10;1
86;FALSE;FALSE;acs;1;4.63;8.09;0.61;66;0.77;NA;NA;33;0
87;FALSE;FALSE;as;0;3.38;5.59;0.37;42;NA;NA;NA;NA;NA
88;FALSE;FALSE;eas;2;0.88;0.59;0.86;90;NA;NA;160;44;0
89;FALSE;FALSE;as;1;1.82;9.97;0.8;24;NA;NA;NA;7;0
90;FALSE;FALSE;ras;3;4.32;4.97;0.3;72;NA;55;NA;30;1
91;FALSE;FALSE;acs;0;0.57;7.47;0.06;96;0.71;NA;NA;NA;NA
92;FALSE;FALSE;eas;2;3.07;2.47;0.55;48;NA;NA;19;18;0
93;FALSE;FALSE;eas;1;3.69;3.72;0.43;84;NA;NA;301;24;0
94;FALSE;FALSE;as;3;1.19;8.72;0.92;36;NA;NA;NA;47;1
95;FALSE;FALSE;mmas;0;4.94;1.22;0.68;12;NA;NA;NA;NA;NA
96;FALSE;FALSE;ras;2;2.44;6.22;0.18;60;NA;43;NA;13;0
97;FALSE;FALSE;eas;0;0.18;8.25;0.29;28;NA;NA;453;NA;NA
98;FALSE;FALSE;as;2;2.68;3.25;0.78;76;NA;NA;NA;45;1
99;FALSE;FALSE;ras;3;3.93;0.75;0.04;52;NA;76;NA;11;0
100;FALSE;FALSE;mmas;1;1.43;5.75;0.54;100;NA;NA;NA;34;1
101;FALSE;FALSE;mmas;3;0.8;7;0.66;64;NA;NA;NA;16;0
102;FALSE;FALSE;acs;1;3.3;2;0.17;16;0.48;NA;NA;39;1
103;FALSE;FALSE;ras;2;2.05;9.5;0.41;40;NA;13;NA;28;1
104;FALSE;FALSE;as;0;4.55;4.5;0.91;88;NA;NA;NA;NA;NA
105;FALSE;FALSE;ras;1;4.86;6.38;0.85;46;NA;44;NA;13;1
106;FALSE;FALSE;mmas;3;2.36;1.38;0.35;94;NA;NA;NA;36;0
107;TRUE;FALSE;acs;2;1.11;3.88;0.6;22;0.66;NA;NA;25;1
108;FALSE;FALSE;eas;0;3.61;8.88;0.1;70;NA;NA;500;NA;NA
109;FALSE;FALSE;eas;3;2.99;5.13;0.97;10;NA;NA;594;42;0
