CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;FALSE;as;2;4.99;9.5;0.39;67;NA;NA;NA;39;1
2;FALSE;FALSE;eas;0;2.49;4.5;0.89;19;NA;NA;321;NA;NA
3;FALSE;FALSE;mmas;1;1.24;2;0.15;91;NA;NA;NA;50;1
4;TRUE;FALSE;ras;3;3.74;7;0.64;43;NA;55;NA;27;0
5;TRUE;FALSE;acs;1;4.36;5.75;0.52;7;0.21;NA;NA;33;1
6;FALSE;FALSE;eas;3;1.86;0.75;0.02;55;NA;NA;39;10;0
7;FALSE;FALSE;as;0;3.11;8.25;0.27;79;NA;NA;NA;NA;NA
8;FALSE;FALSE;ras;2;0.61;3.25;0.77;31;NA;43;NA;45;1
9;FALSE;FALSE;eas;0;4.05;2.63;0.7;73;NA;NA;274;NA;NA
10;TRUE;FALSE;acs;2;1.55;7.63;0.21;25;0.89;NA;NA;13;1
11;FALSE;FALSE;mmas;3;0.3;5.13;0.95;97;NA;NA;NA;47;0
12;FALSE;FALSE;ras;1;2.8;0.13;0.46;49;NA;24;NA;24;1
13;FALSE;FALSE;acs;0;0.93;8.88;0.09;37;0.27;NA;NA;NA;NA
14;FALSE;FALSE;mmas;2;3.43;3.88;0.58;85;NA;NA;NA;19;1
15;FALSE;FALSE;ras;3;4.68;1.38;0.33;13;NA;61;NA;30;0
16;FALSE;FALSE;as;1;2.18;6.38;0.83;61;NA;NA;NA;7;1
17;FALSE;FALSE;ras;1;1.71;2.94;0.36;70;NA;2;NA;46;0
18;FALSE;FALSE;mmas;3;4.21;7.94;0.86;22;NA;NA;NA;23;1
19;FALSE;FALSE;as;0;0.46;0.44;0.61;46;NA;NA;NA;NA;NA
20;FALSE;FALSE;eas;2;2.96;5.44;0.12;94;NA;NA;204;34;0
21;FALSE;FALSE;ras;0;4.83;6.69;0.24;58;NA;90;NA;NA;NA
22;FALSE;FALSE;as;2;2.33;1.69;0.73;10;NA;NA;NA;40;0
23;FALSE;FALSE;acs;3;1.08;4.19;0.49;82;0.43;NA;NA;6;1
24;FALSE;FALSE;mmas;1;3.58;9.19;0.98;34;NA;NA;NA;29;0
25;FALSE;FALSE;eas;2;0.77;7.31;0.3;52;NA;NA;344;14;0
26;FALSE;FALSE;acs;0;3.27;2.31;0.8;100;0.74;NA;NA;NA;NA
27;FALSE;FALSE;as;1;4.52;4.81;0.05;28;NA;NA;NA;26;0
28;FALSE;FALSE;ras;3;2.02;9.81;0.55;76;NA;71;NA;49;1
29;TRUE;FALSE;acs;2;3.89;1.06;0.92;64;0.11;NA;NA;20;0
30;FALSE;FALSE;mmas;0;1.39;6.06;0.43;16;NA;NA;NA;NA;NA
31;FALSE;FALSE;eas;1;0.14;8.56;0.67;88;NA;NA;63;9;0
32;FALSE;FALSE;as;3;2.64;3.56;0.18;40;NA;NA;NA;32;1
33;FALSE;FALSE;ras;2;0.22;2.47;0.53;56;NA;16;NA;25;0
34;FALSE;FALSE;mmas;0;2.72;7.47;0.04;8;NA;NA;NA;NA;NA
35;FALSE;FALSE;eas;1;3.97;9.97;0.78;80;NA;NA;426;14;0
36;FALSE;FALSE;as;3;1.47;4.97;0.29;32;NA;NA;NA;37;1
37;FALSE;FALSE;acs;0;2.1;1.22;0.66;92;0.97;NA;NA;NA;NA
38;FALSE;FALSE;eas;2;4.6;6.22;0.16;44;NA;NA;707;8;0
39;FALSE;FALSE;ras;3;3.35;8.72;0.91;68;NA;79;NA;42;1
40;FALSE;FALSE;as;1;0.85;3.72;0.41;20;NA;NA;NA;19;0
41;FALSE;FALSE;mmas;2;3.66;0.6;0.84;14;NA;NA;NA;45;0
42;FALSE;FALSE;ras;0;1.16;5.6;0.35;62;NA;60;NA;NA;NA
43;FALSE;FALSE;acs;3;4.91;3.1;0.1;86;0.16;NA;NA;11;1
44;FALSE;FALSE;eas;1;2.41;8.1;0.6;38;NA;NA;473;34;0
45;FALSE;FALSE;mmas;3;0.54;9.35;0.72;26;NA;NA;NA;16;1
46;FALSE;FALSE;mmas;0;0.27;2.27;0.71;25;NA;NA;NA;NA;NA
47;FALSE;FALSE;acs;2;2.52;8.66;0.35;56;0.24;NA;NA;36;1
48;FALSE;FALSE;acs;2;4.29;8.49;0.83;12;0.89;NA;NA;38;1
49;FALSE;FALSE;as;3;3.68;8.79;0.7;38;NA;NA;NA;24;1
50;FALSE;FALSE;ras;3;0.63;6.27;0.13;22;NA;94;NA;21;1
51;FALSE;FALSE;acs;2;4.45;2.66;0.86;62;0.7;NA;NA;25;0
52;FALSE;FALSE;eas;3;0.88;3.41;0.57;73;NA;NA;268;42;0
53;FALSE;FALSE;ras;1;4.52;0.16;0.49;37;NA;14;NA;8;0
54;FALSE;FALSE;eas;0;0.29;8.32;0.5;46;NA;NA;564;NA;NA
55;FALSE;FALSE;acs;2;3.13;9.79;0.64;60;0.12;NA;NA;14;0
56;FALSE;FALSE;ras;2;4.46;6.4;0.83;53;NA;18;NA;34;1
57;FALSE;FALSE;eas;2;2.69;2.25;0.88;22;NA;NA;489;14;1
58;FALSE;FALSE;acs;3;0.59;7.42;0.1;33;0.37;NA;NA;22;1
59;FALSE;FALSE;mmas;1;1.87;3.51;0.92;62;NA;NA;NA;26;1
60;FALSE;FALSE;mmas;0;0.52;8.34;0.26;66;NA;NA;NA;NA;NA
61;FALSE;FALSE;ras;0;1.51;2.58;0.82;76;NA;80;NA;NA;NA
62;FALSE;FALSE;acs;2;4.35;8.75;0.42;43;0.78;NA;NA;25;1
63;TRUE;FALSE;acs;3;4.31;1.21;0.78;69;0.15;NA;NA;6;1
64;TRUE;FALSE;acs;3;2.56;1.1;0.67;35;0.67;NA;NA;34;1
65;FALSE;FALSE;mmas;0;2.44;7.85;0.65;83;NA;NA;NA;NA;NA
66;FALSE;FALSE;as;2;3.47;5.5;0.91;6;NA;NA;NA;40;1
67;FALSE;FALSE;acs;3;1.65;3.97;0.61;36;0.41;NA;NA;22;0
68;FALSE;FALSE;acs;2;2.15;9.22;0.39;28;0.74;NA;NA;16;0
69;FALSE;FALSE;eas;1;1.67;2.47;0.13;47;NA;NA;552;44;0
70;FALSE;FALSE;as;0;0.37;2.45;0.52;21;NA;NA;NA;NA;NA
71;FALSE;FALSE;acs;0;1.43;7.47;0.15;34;0.84;NA;NA;NA;NA
72;FALSE;FALSE;acs;1;2.19;1.72;0.98;83;0.59;NA;NA;13;0
