INSTANCE;BEST
2000-827.tsp;32378193
2000-302.tsp;32505593
2000-24.tsp;32396894
2000-518.tsp;32738869
2000-427.tsp;32500691
2000-216.tsp;32273685
2000-840.tsp;32636306
2000-323.tsp;32604858
2000-103.tsp;32746739
2000-914.tsp;32490553
2000-602.tsp;32622216
2000-634.tsp;32443328
2000-721.tsp;32323199
2000-35.tsp;32308720
2000-118.tsp;32502711
2000-39.tsp;32558477
2000-2.tsp;32494630
2000-824.tsp;32454565
2000-107.tsp;32603482
2000-725.tsp;32481238
2000-933.tsp;32554429
2000-837.tsp;32208886
2000-432.tsp;32859819
2000-438.tsp;32170971
2000-809.tsp;32348694
2000-531.tsp;32486057
2000-414.tsp;32702125
2000-318.tsp;32397953
2000-116.tsp;32440128
2000-735.tsp;32394669
2000-225.tsp;32476248
2000-412.tsp;32449656
2000-515.tsp;32405374
2000-32.tsp;32773078
2000-315.tsp;32522930
2000-806.tsp;32925948
2000-314.tsp;32336475
2000-514.tsp;32405748
2000-505.tsp;32424772
2000-924.tsp;32972178
2000-501.tsp;32727270
2000-123.tsp;32443167
2000-527.tsp;32704448
2000-320.tsp;32330902
2000-707.tsp;32562482
2000-708.tsp;32717253
2000-717.tsp;32368029
2000-337.tsp;32509011
2000-805.tsp;32771321
2000-732.tsp;32378499
2000-223.tsp;31948363
2000-922.tsp;32797346
2000-925.tsp;32749795
2000-322.tsp;32537574
2000-801.tsp;32625077
2000-816.tsp;32712855
2000-304.tsp;32538468
2000-420.tsp;32559559
2000-401.tsp;32716876
2000-636.tsp;32462794
2000-214.tsp;32612028
2000-433.tsp;32192860
2000-321.tsp;32479649
2000-131.tsp;32658052
2000-736.tsp;32470639
2000-125.tsp;32497796
2000-607.tsp;32701424
2000-623.tsp;32603892
2000-311.tsp;32959659
2000-835.tsp;32692416
2000-926.tsp;32132200
2000-135.tsp;32731118
2000-820.tsp;32370285
2000-537.tsp;32726835
2000-419.tsp;32544386
2000-802.tsp;32920371
2000-540.tsp;32473943
2000-101.tsp;32518832
2000-416.tsp;32417779
2000-612.tsp;32635182
2000-815.tsp;32424377
2000-829.tsp;32428059
2000-504.tsp;32347072
2000-929.tsp;32409284
2000-812.tsp;32457443
2000-403.tsp;32494389
2000-739.tsp;32518486
2000-633.tsp;32036900
2000-828.tsp;32305807
2000-723.tsp;32526649
2000-503.tsp;32193389
2000-716.tsp;32236403
2000-938.tsp;32215316
2000-437.tsp;32628066
2000-528.tsp;32753048
2000-204.tsp;32314241
2000-418.tsp;32890172
2000-935.tsp;32394402
2000-737.tsp;32510192
2000-535.tsp;32501458
2000-638.tsp;32260910
2000-231.tsp;32919353
2000-305.tsp;32605739
2000-425.tsp;32598445
2000-639.tsp;32378635
2000-918.tsp;33052504
2000-512.tsp;32460636
2000-20.tsp;32711444
2000-614.tsp;32599299
2000-303.tsp;32440203
2000-117.tsp;32280188
2000-424.tsp;32581340
2000-618.tsp;32130139
2000-901.tsp;32234312
2000-26.tsp;32745778
2000-327.tsp;32602021
2000-536.tsp;31964590
2000-138.tsp;32575608
2000-306.tsp;32703838
2000-516.tsp;32517137
2000-936.tsp;32384794
2000-423.tsp;32554598
2000-625.tsp;32800450
2000-309.tsp;32771166
2000-807.tsp;32066653
2000-838.tsp;32777711
2000-833.tsp;32801772
2000-332.tsp;32448906
2000-908.tsp;32706966
2000-733.tsp;32620761
2000-14.tsp;32608651
2000-511.tsp;32405568
2000-402.tsp;32563364
2000-124.tsp;32469935
2000-239.tsp;32664561
2000-530.tsp;32829281
2000-730.tsp;32337027
2000-533.tsp;32591564
2000-810.tsp;32326824
2000-640.tsp;32227501
2000-308.tsp;32467541
2000-19.tsp;32416801
2000-830.tsp;32343075
2000-502.tsp;32614296
2000-405.tsp;32096828
2000-229.tsp;32329765
2000-109.tsp;32571021
2000-23.tsp;32639292
2000-207.tsp;32860652
2000-115.tsp;32231615
2000-33.tsp;32358149
2000-136.tsp;32818128
2000-718.tsp;32776175
2000-923.tsp;32328414
2000-202.tsp;32261142
2000-637.tsp;32294500
2000-701.tsp;32250666
2000-818.tsp;32623282
2000-222.tsp;32579776
2000-212.tsp;32453505
2000-620.tsp;32436184
2000-37.tsp;32399928
2000-421.tsp;32679738
2000-825.tsp;32245744
2000-3.tsp;32524862
2000-328.tsp;32402193
2000-813.tsp;32582182
2000-203.tsp;32329420
2000-325.tsp;32383861
2000-434.tsp;32383761
2000-526.tsp;32431884
2000-126.tsp;32647448
2000-709.tsp;32031558
2000-727.tsp;32494058
2000-240.tsp;32223389
2000-217.tsp;32119926
2000-919.tsp;32305292
2000-728.tsp;32436893
2000-108.tsp;32571800
2000-29.tsp;32733481
2000-230.tsp;32587882
2000-534.tsp;32507838
2000-713.tsp;32524120
2000-520.tsp;32498289
2000-234.tsp;32421450
2000-539.tsp;32204915
2000-832.tsp;32778082
2000-904.tsp;32344519
2000-839.tsp;32333853
2000-1.tsp;32488690
2000-610.tsp;32560980
2000-18.tsp;32500163
2000-704.tsp;32510413
2000-626.tsp;32361511
2000-706.tsp;32145572
2000-927.tsp;32655566
2000-616.tsp;32395386
2000-819.tsp;32513967
2000-316.tsp;32555768
2000-613.tsp;32752354
2000-603.tsp;32589094
2000-15.tsp;32543953
2000-415.tsp;32897939
2000-440.tsp;32755688
2000-339.tsp;32383294
2000-238.tsp;32275024
2000-724.tsp;32710941
2000-606.tsp;32550509
2000-224.tsp;32739725
2000-233.tsp;32318698
2000-6.tsp;32639893
2000-628.tsp;32221803
2000-206.tsp;32641437
2000-137.tsp;32697757
2000-205.tsp;32467593
2000-836.tsp;32158400
2000-916.tsp;32487063
2000-16.tsp;32747126
2000-130.tsp;32474402
2000-201.tsp;32537552
2000-226.tsp;32734686
2000-122.tsp;32450518
2000-608.tsp;32617440
2000-624.tsp;32371292
2000-11.tsp;32492175
2000-705.tsp;32411254
2000-629.tsp;32663859
2000-702.tsp;32365692
2000-120.tsp;32468684
2000-210.tsp;32420759
2000-119.tsp;32448318
2000-319.tsp;32402808
2000-301.tsp;32386474
2000-538.tsp;32615506
2000-36.tsp;32611200
2000-817.tsp;32536774
2000-907.tsp;32402907
2000-937.tsp;32616220
2000-4.tsp;32499599
2000-911.tsp;32042397
2000-714.tsp;33012006
2000-902.tsp;32344200
2000-635.tsp;32118956
2000-738.tsp;32431852
2000-726.tsp;32496137
2000-340.tsp;32430918
2000-113.tsp;32593296
2000-211.tsp;32334499
2000-307.tsp;32458460
2000-128.tsp;32259524
2000-519.tsp;32887968
2000-129.tsp;32543837
2000-909.tsp;32655650
2000-404.tsp;32422683
2000-38.tsp;32173984
2000-27.tsp;32761535
2000-213.tsp;32818388
2000-106.tsp;32362179
2000-22.tsp;32817169
