EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;7;1798095002;--competition 3 --problem 6 --dimensions 30;3.21321553829243
2;38;1852348805;--competition 3 --problem 37 --dimensions 30;49993.4460265801
3;26;140325164;--competition 3 --problem 25 --dimensions 30;0.161688035417893
4;1;217739268;--competition 3 --problem 0 --dimensions 30;0.329486186516302
5;47;26841687;--competition 3 --problem 46 --dimensions 30;500.332847296344
6;28;700284790;--competition 3 --problem 27 --dimensions 30;63.1436795974611
7;32;261539545;--competition 3 --problem 31 --dimensions 30;83.5182136563334
8;39;1575399609;--competition 3 --problem 38 --dimensions 30;3.11399343705823
9;19;281762721;--competition 3 --problem 18 --dimensions 30;143.021564787288
10;27;2071098791;--competition 3 --problem 26 --dimensions 30;4.48324444001056
11;31;1216760586;--competition 3 --problem 30 --dimensions 30;12.1225871898022
12;23;1900588177;--competition 3 --problem 22 --dimensions 30;10.584116561434
13;15;1995505690;--competition 3 --problem 14 --dimensions 30;68.8893005312813
14;20;1386589873;--competition 3 --problem 19 --dimensions 30;38.8262439792608
15;35;818852769;--competition 3 --problem 34 --dimensions 30;6806.64081196766
16;42;894041538;--competition 3 --problem 41 --dimensions 30;180.350057545316
17;4;1144943943;--competition 3 --problem 3 --dimensions 30;32.9808500420154
