CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG;QUALITY
1;160.14736123395;3173.64572589754;7;38;193;0.113496932515337;0.646128069617591;12.8499401365024;8696.10815684273;38;193;0.113496932515337;0.646128069617591;1.04098411216167
2;201.505743877003;10795.7899776998;5;255;274.4;0.832786885245902;0.864420592578725;14.0954935156186;80694.9982280353;255;274.4;0.832786885245902;0.864420592578725;1.48872435388558
3;193.059979252831;21278.7590151304;5;237;267.8;0.773770491803279;0.841280812101617;20.3617877776879;56706.5102730415;237;267.8;0.773770491803279;0.841280812101617;1.44887250973056
4;208.839002464325;62499.1778023795;5;263;283.8;0.859016393442623;0.893135457254606;17.2216203869401;163156.847159977;263;283.8;0.859016393442623;0.893135457254606;1.53817773193849
5;62.2669815006346;2924.2454447142;7;28;190.857142857143;0.0828220858895705;0.635203001687089;24.8474065355974;2467.83421547767;28;190.857142857143;0.0828220858895705;0.635203001687089;1.0233826138292
6;11.984909656828;3306.64317632905;7;39;200.714285714286;0.122977346278317;0.672092276938524;12.6334798222733;741.570359466499;39;200.714285714286;0.122977346278317;0.672092276938524;1.08281533506762
7;239.225168728541;88969397.5319525;5;292;309.2;0.954098360655738;0.973652651038937;75.3000743577013;107269965.814695;292;309.2;0.954098360655738;0.973652651038937;1.67684623234484
8;176.547486807457;56256.4062666074;5;201;262.8;0.655737704918033;0.825601832072599;14.7306463020681;100272.063738271;201;262.8;0.655737704918033;0.825601832072599;1.42186982190281
9;238.587663919605;518.897828638848;5;257;271.4;0.785276073619632;0.856353526245698;13.5440118684396;39921.2708000804;257;271.4;0.785276073619632;0.856353526245698;1.4748310729787
10;238.325103749878;2056236.66843067;5;287;298.8;0.925566343042071;0.940896877676971;27.5540569182631;2625683.94443006;287;298.8;0.925566343042071;0.940896877676971;1.62043351155478
11;212.9733713771;999.697618786951;5;191;249.8;0.570570570570571;0.789577830110829;12.5758706145329;170185.83419905;191;249.8;0.570570570570571;0.789577830110829;1.35982848519087
12;100.187728147948;3225.79359381666;7;139;196.142857142857;0.423312883435583;0.654603855003325;12.6753354514325;3916.46675095479;139;196.142857142857;0.423312883435583;0.654603855003325;1.05463954417202
13;200.930464137976;6236551.01177966;5;253;289.2;0.826229508196721;0.91131328059135;13.949950875188;8500077.03199911;253;289.2;0.826229508196721;0.91131328059135;1.56948398324066
