CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG;QUALITY
1;1409.40011887197;1936323930.4665;5;372;416.4;0.922885572139303;0.972158865142887;64.5755193411645;2811317949.02755;372;416.4;0.922885572139303;0.972158865142887;1.67427360107942
2;915.126566150313;333292249.617265;5;257;325;0.632098765432099;0.753764951517962;12.8604057062841;483833302.327147;257;325;0.632098765432099;0.753764951517962;1.29815074983649
3;66.5651736892176;1753.03392996518;5;56;230.6;0.13681592039801;0.550396483912765;17.3651623555054;37870.3470548785;56;230.6;0.13681592039801;0.550396483912765;0.947905055627539
4;0.399308997172731;3755967.20486293;7;144;251;0.426008968609865;0.652662212896036;8.5062811262706;5523598.48897182;144;251;0.426008968609865;0.652662212896036;1.05151134299917
5;715.250988227607;97461383.1790074;5;272;327.2;0.701793721973094;0.761090171185822;15.3744204307765;141498256.759071;272;327.2;0.701793721973094;0.761090171185822;1.31076640593114
6;0.319479591678088;919.15844301966;7;38;203.571428571429;0.124579124579125;0.517772002038778;9.70487256850512;17108.0692640904;38;203.571428571429;0.124579124579125;0.517772002038778;0.83418822550692
7;139.782972339608;5121381.30614567;5;261;313;0.641975308641975;0.7328681944623;12.9265231433255;7501598.84505979;261;313;0.641975308641975;0.7328681944623;1.26216189046285
8;104.453553105716;17378.4981040711;5;20;279.8;0.0472636815920398;0.657331519906272;18.9288580687993;524461.048441159;20;279.8;0.0472636815920398;0.657331519906272;1.13207095094969
9;0.495420125907216;4060.51216104624;7;248;277.714285714286;0.553811659192825;0.73433631031232;11.7288959553183;396114.139349635;248;277.714285714286;0.553811659192825;0.73433631031232;1.18309738883652
10;0.320737526906659;4045.31249680157;9;24;167.333333333333;0.0515695067264574;0.500680097907749;3.64023933640556;11281.4799670162;24;167.333333333333;0.0515695067264574;0.500680097907749;0.751020146861623
11;953.957855700552;77703503.6723891;5;328;374.2;0.813432835820896;0.872664486184269;17.6493772593385;112976052.025374;328;374.2;0.813432835820896;0.872664486184269;1.50292217065069
12;159.333050779548;97982.5286632278;5;284;337;0.698765432098765;0.788034996740449;13.7737751274835;317753.205823214;284;337;0.698765432098765;0.788034996740449;1.35717138327522
13;1386.05057180195;4021600294.02592;5;377;419.6;0.967661691542289;0.979570780692058;70.9383550311016;5838117447.18975;377;419.6;0.967661691542289;0.979570780692058;1.68703856674743
14;0.50763372505044;913.164022118177;7;81;196.714285714286;0.179372197309417;0.52879384779691;5.96639468672282;5392.17889207199;81;196.714285714286;0.179372197309417;0.52879384779691;0.8519456436728
15;942.862952964246;456231484.550986;5;321;370.8;0.790123456790123;0.862979903035249;16.2810690160767;662328193.228109;321;370.8;0.790123456790123;0.862979903035249;1.48624316633848
16;0.404891137528672;648.658490770956;9;6;132;0.0123456790123457;0.413945629089674;2.84082567800972;6093.38083516111;6;132;0.0123456790123457;0.413945629089674;0.620918443634511
17;967.300681224043;869790937.605619;5;304;368;0.784974093264249;0.856371487832868;19.2949165295883;1262646532.8036;304;368;0.784974093264249;0.856371487832868;1.47486200682327
18;1067.15026103317;2154848447.06837;5;372;404.6;0.925373134328358;0.94416851955244;31.609130217282;3128291210.50559;372;404.6;0.925373134328358;0.94416851955244;1.62606800589587
19;939.252226431111;56437465.6830416;5;312;358.8;0.775308641975309;0.834385484188164;15.8357666103796;81968561.5351283;312;358.8;0.775308641975309;0.834385484188164;1.43699722276851
20;0.121606725058339;4523.36110459208;7;60;227;0.211469534050179;0.57888369231982;8.86946428225986;129112.765514419;60;227;0.211469534050179;0.57888369231982;0.932645948737488
21;139.919525618024;32052633.629802;5;269;317.2;0.661728395061728;0.742112404996295;13.0499080453418;46566548.3674259;269;317.2;0.661728395061728;0.742112404996295;1.2780824752714
22;979.968107173256;697897734.125948;5;291;359.4;0.650224215246637;0.839762300812247;15.5418335143093;1013163871.78235;291;359.4;0.650224215246637;0.839762300812247;1.44625729584331
23;1373.36590791372;5357858915.38157;5;362;418.8;0.935233160621762;0.97688546168432;60.3678079162145;7777725428.55766;362;418.8;0.935233160621762;0.97688546168432;1.68241385067855
24;1360.02985083336;1534907935.79855;5;369;412.4;0.917910447761194;0.961751200928651;59.5120236338237;2228370800.66111;369;412.4;0.917910447761194;0.961751200928651;1.65634929048823
25;67.1284726641094;2218.31681052899;5;79;247.4;0.156941649899396;0.59751405746391;13.1350872901063;44694.6091976811;79;247.4;0.156941649899396;0.59751405746391;1.02905198785451
26;0.281736098237675;479.209352427138;7;10;198.285714285714;0.0233160621761658;0.510315153595963;8.55219737918272;1837.56405236612;10;198.285714285714;0.0233160621761658;0.510315153595963;0.82217441412683
27;0.448474569800619;3280.48961239024;7;216;268.857142857143;0.639013452914798;0.701836599270132;12.9964490946545;46662.7566490948;216;268.857142857143;0.639013452914798;0.701836599270132;1.13073674326855
28;64.4287132198376;1944.55196411744;5;69;250.2;0.13682092555332;0.600576816471237;18.1669991732258;39921.2865051541;69;250.2;0.13682092555332;0.600576816471237;1.03432673947824
29;0.0517049136253063;600.566095418286;9;8;118.444444444444;0.025089605734767;0.325402810388629;10.9056327915031;9054.62160700828;8;118.444444444444;0.025089605734767;0.325402810388629;0.488104215582944
30;954.414093855174;1924558541.58413;5;340;394.2;0.837037037037037;0.917988633047674;17.7056440372181;2793943924.13043;340;394.2;0.837037037037037;0.917988633047674;1.58098042358211
31;1137.55532728531;2268003417.68896;5;371;402.4;0.894618834080718;0.939488161191669;40.2920213439388;3292540482.68483;371;402.4;0.894618834080718;0.939488161191669;1.61800738871899
32;0.273414213645544;957.363407353575;7;86;171.714285714286;0.211442786069652;0.450666665640267;12.2154935785169;18466.3296969674;86;171.714285714286;0.211442786069652;0.450666665640267;0.726074072420431
33;969.204332126951;1366109861.47905;5;316;369.8;0.748878923766816;0.86113456627876;19.5296893153125;1983129010.25374;316;369.8;0.748878923766816;0.86113456627876;1.48306508636898
34;0.535942301701198;2008.66886072466;7;236;269.285714285714;0.526905829596413;0.706418397107538;11.0280779899104;39039.8343445205;236;269.285714285714;0.526905829596413;0.706418397107538;1.13811852867326
35;0.522750772179757;1236.05466033487;7;182;263.857142857143;0.446913580246914;0.694434234897434;12.360126066669;49335.5954561377;182;263.857142857143;0.446913580246914;0.694434234897434;1.1188107117792
36;0.123664919961911;621.978413205834;7;61;183.428571428571;0.208955223880597;0.477327070592771;10.6320145863635;8109.73910168616;61;183.428571428571;0.208955223880597;0.477327070592771;0.769026947066131
37;227.904516012578;2583971.90205976;5;258;330.6;0.634567901234568;0.767423274608718;12.8813171173063;3780558.89910852;258;330.6;0.634567901234568;0.767423274608718;1.32167341738168
38;933.422006541368;996216765.316201;5;299;373.8;0.735802469135802;0.868533606834736;15.1167393124603;1446182210.7004;299;373.8;0.735802469135802;0.868533606834736;1.4958078784376
39;131.200207673308;4204.36595286799;5;224;283;0.554726368159204;0.662355992962585;12.690078095414;86278.1634919536;224;283;0.554726368159204;0.662355992962585;1.14072421010223
40;1139.31303313322;4095995425.85634;5;352;403;0.908071748878924;0.940480894195255;40.5087950695032;5945946835.6515;352;403;0.908071748878924;0.940480894195255;1.61971709555849
