CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;FALSE;FALSE;60;2;1;NA;NA;0.73;0.65;0.61
2;FALSE;FALSE;160;5;0;NA;7;1.98;1.9;0.16
3;FALSE;FALSE;10;3;1;NA;NA;0.11;1.27;0.83
4;FALSE;FALSE;110;0;2;NA;NA;1.36;0.02;0.38
5;FALSE;FALSE;184;3;0;NA;NA;1.67;0.96;0.5
6;FALSE;FALSE;135;4;1;NA;NA;2.29;1.58;0.72
7;FALSE;FALSE;35;1;0;NA;NA;1.04;0.33;0.27
8;FALSE;FALSE;172;1;2;NA;NA;2.45;0.18;0.44
9;FALSE;FALSE;72;5;0;NA;7;1.2;1.43;0.89
10;FALSE;FALSE;122;6;1;5;NA;1.83;2.05;0.21
11;FALSE;FALSE;23;3;2;NA;NA;0.58;0.8;0.66
12;FALSE;FALSE;97;0;1;NA;NA;0.26;0.49;0.33
13;FALSE;FALSE;197;4;2;NA;NA;1.51;1.74;0.78
14;FALSE;FALSE;48;6;1;15;NA;0.89;2.37;0.1
15;FALSE;FALSE;147;2;0;NA;NA;2.14;1.12;0.55
16;FALSE;FALSE;41;2;1;NA;NA;1.43;1.66;0.52
17;FALSE;FALSE;141;5;2;NA;8;0.18;0.41;0.07
18;FALSE;FALSE;91;4;2;NA;NA;2.06;1.04;0.75
19;FALSE;FALSE;191;0;0;NA;NA;0.81;2.29;0.3
20;FALSE;FALSE;166;4;1;NA;NA;0.5;0.73;0.86
21;FALSE;FALSE;66;1;2;NA;NA;1.75;1.98;0.41
22;FALSE;FALSE;16;6;0;11;NA;2.37;0.1;0.19
23;FALSE;FALSE;116;3;1;NA;NA;1.12;1.35;0.64
24;FALSE;FALSE;104;3;0;NA;NA;0.65;0.88;0.81
25;FALSE;FALSE;4;0;1;NA;NA;1.9;2.13;0.36
26;FALSE;FALSE;153;1;2;NA;NA;0.03;1.51;0.58
27;FALSE;FALSE;54;5;0;NA;10;1.28;0.26;0.13
28;FALSE;FALSE;29;4;2;NA;NA;1.59;1.19;0.69
29;FALSE;FALSE;128;1;1;NA;NA;0.34;2.44;0.24
30;FALSE;FALSE;79;2;0;NA;NA;2.22;1.82;0.47
31;FALSE;FALSE;63;3;2;NA;NA;1.08;2.09;0.48
32;FALSE;FALSE;163;0;1;NA;NA;2.33;0.84;0.03
33;FALSE;FALSE;113;5;2;NA;2;1.71;1.47;0.26
34;FALSE;FALSE;13;1;0;NA;NA;0.46;0.22;0.71
35;FALSE;FALSE;88;0;1;NA;NA;0.15;1.16;0.14
36;TRUE;FALSE;187;4;0;NA;NA;1.4;2.41;0.59
37;FALSE;FALSE;138;2;2;NA;NA;2.02;0.53;0.82
38;FALSE;FALSE;38;6;1;13;NA;0.77;1.78;0.37
39;TRUE;FALSE;150;4;0;NA;NA;2.49;2.25;0.65
40;FALSE;FALSE;51;0;2;NA;NA;1.24;1;0.2
41;FALSE;FALSE;100;5;0;NA;5;0.61;1.62;0.43
42;FALSE;FALSE;200;2;1;NA;NA;1.86;0.37;0.88
43;FALSE;FALSE;76;3;1;NA;NA;0.93;0.06;0.76
44;FALSE;FALSE;125;1;0;NA;NA;1.55;0.69;0.09
45;FALSE;FALSE;26;4;1;NA;NA;0.3;1.94;0.54
46;FALSE;FALSE;194;5;1;NA;3;1.16;1.23;0.4
47;FALSE;FALSE;94;2;2;NA;NA;2.41;2.48;0.85
48;FALSE;FALSE;44;4;0;NA;NA;1.79;0.61;0.62
49;FALSE;FALSE;144;0;1;NA;NA;0.54;1.86;0.17
50;FALSE;FALSE;169;3;0;NA;NA;0.22;2.17;0.73
51;FALSE;FALSE;69;6;1;18;NA;1.47;0.92;0.28
52;FALSE;FALSE;20;1;0;NA;NA;2.1;1.55;0.06
53;FALSE;FALSE;119;5;2;NA;4;0.85;0.3;0.51
54;FALSE;FALSE;181;1;2;NA;NA;0.69;1.7;0.12
55;FALSE;FALSE;82;4;1;NA;NA;1.94;0.45;0.57
56;FALSE;FALSE;32;2;2;NA;NA;1.32;2.33;0.79
57;FALSE;FALSE;132;6;0;19;NA;0.07;1.08;0.34
58;FALSE;FALSE;156;3;1;NA;NA;0.38;0.14;0.45
59;FALSE;FALSE;57;0;0;NA;NA;1.63;1.39;0
60;FALSE;FALSE;7;5;2;NA;5;2.25;0.76;0.23
61;FALSE;FALSE;107;2;0;NA;NA;1;2.01;0.68
62;FALSE;FALSE;15;2;1;NA;NA;1.61;0.51;0.14
63;FALSE;FALSE;114;6;0;8;NA;0.36;1.76;0.59
64;FALSE;FALSE;164;0;2;NA;NA;0.99;1.14;0.81
65;FALSE;FALSE;65;4;0;NA;NA;2.24;2.39;0.36
66;FALSE;FALSE;189;5;2;NA;6;0.05;2.07;0.25
67;FALSE;FALSE;90;1;0;NA;NA;1.3;0.82;0.7
68;FALSE;FALSE;139;3;1;NA;NA;0.67;0.2;0.02
69;FALSE;FALSE;152;6;0;18;NA;0.83;1.6;0.64
70;FALSE;FALSE;52;2;2;NA;NA;2.08;0.35;0.19
71;FALSE;FALSE;102;1;1;NA;NA;0.2;0.98;0.87
72;FALSE;FALSE;2;4;0;NA;NA;1.45;2.23;0.42
73;FALSE;FALSE;127;3;2;NA;NA;1.14;1.92;0.31
74;FALSE;FALSE;27;0;1;NA;NA;2.39;0.67;0.76
75;FALSE;FALSE;77;5;1;NA;8;1.77;1.29;0.53
76;FALSE;FALSE;177;2;0;NA;NA;0.52;0.04;0.08
77;TRUE;FALSE;83;1;0;NA;NA;1.22;2.15;0.11
78;FALSE;FALSE;183;5;2;NA;9;2.47;0.9;0.56
79;FALSE;FALSE;34;3;1;NA;NA;0.59;0.28;0.33
80;FALSE;FALSE;133;0;0;NA;NA;1.84;1.53;0.78
81;FALSE;FALSE;108;4;1;NA;NA;2.16;0.59;0.45
82;FALSE;FALSE;9;1;2;NA;NA;0.91;1.84;0.9
83;FALSE;FALSE;58;6;0;14;NA;0.28;1.21;0.67
84;FALSE;FALSE;158;2;2;NA;NA;1.53;2.46;0.22
85;FALSE;FALSE;21;5;1;NA;7;1.06;1.06;0.62
86;FALSE;FALSE;121;2;2;NA;NA;2.31;2.31;0.17
87;FALSE;FALSE;71;0;2;NA;NA;0.44;1.68;0.84
88;FALSE;FALSE;170;4;0;NA;NA;1.69;0.43;0.39
89;FALSE;FALSE;46;3;0;NA;NA;0.13;1.99;0.05
90;FALSE;FALSE;146;6;1;13;NA;1.38;0.74;0.5
91;FALSE;FALSE;96;4;2;NA;NA;0.75;0.12;0.28
92;FALSE;FALSE;195;1;1;NA;NA;2;1.37;0.73
93;FALSE;FALSE;55;4;1;NA;NA;2.35;1.72;0.07
94;FALSE;FALSE;155;0;0;NA;NA;1.1;0.47;0.52
95;FALSE;FALSE;6;2;1;NA;NA;1.73;1.1;0.29
96;FALSE;FALSE;180;3;1;NA;NA;0.16;1.41;0.18
97;FALSE;FALSE;80;0;2;NA;NA;1.41;0.16;0.63
98;FALSE;FALSE;30;5;0;NA;3;2.04;2.03;0.85
99;FALSE;FALSE;130;1;2;NA;NA;0.79;0.78;0.4
100;FALSE;FALSE;142;4;0;NA;NA;0.95;1.25;0.12
101;FALSE;FALSE;43;1;2;NA;NA;2.2;0;0.57
102;FALSE;FALSE;192;3;2;NA;NA;0.32;0.63;0.35
103;FALSE;FALSE;93;6;1;10;NA;1.57;1.88;0.8
104;FALSE;FALSE;68;2;0;NA;NA;1.88;0.94;0.24
105;FALSE;FALSE;167;5;1;NA;6;0.63;2.19;0.69
106;FALSE;FALSE;118;0;0;NA;NA;0.01;0.32;0.46
107;FALSE;FALSE;18;3;2;NA;NA;1.26;1.57;0.01
108;FALSE;FALSE;173;2;1;NA;NA;1.34;1.8;0.26
109;FALSE;FALSE;74;5;2;NA;2;0.09;0.55;0.71
110;FALSE;FALSE;124;4;1;NA;NA;1.96;1.17;0.04
111;FALSE;FALSE;24;0;0;NA;NA;0.71;2.42;0.49
112;FALSE;FALSE;149;1;2;NA;NA;1.65;2.11;0.6
113;FALSE;FALSE;49;5;0;NA;5;0.4;0.86;0.15
114;FALSE;FALSE;99;3;1;NA;NA;1.02;1.49;0.38
115;FALSE;FALSE;198;6;0;6;NA;2.27;0.24;0.83
116;FALSE;FALSE;62;1;1;NA;NA;0.56;2.27;0.55
117;FALSE;FALSE;161;4;2;NA;NA;1.81;1.02;0.1
118;FALSE;FALSE;111;2;0;NA;NA;2.43;1.64;0.32
119;FALSE;FALSE;37;1;2;NA;NA;0.24;1.33;0.43
