CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;FALSE;FALSE;94;5;1;NA;10;1.7;2.27;0.27
2;FALSE;FALSE;193;1;2;NA;NA;0.45;1.02;0.72
3;FALSE;FALSE;44;0;2;NA;NA;2.33;0.4;0.04
4;FALSE;FALSE;143;3;0;NA;NA;1.08;1.65;0.49
5;TRUE;FALSE;19;4;2;NA;NA;1.39;1.34;0.6
6;FALSE;FALSE;119;1;0;NA;NA;0.14;0.09;0.15
7;FALSE;FALSE;168;6;1;16;NA;0.76;1.96;0.38
8;FALSE;FALSE;69;2;0;NA;NA;2.01;0.71;0.83
9;FALSE;FALSE;156;0;0;NA;NA;1.23;0.24;0.21
10;FALSE;FALSE;56;4;1;NA;NA;2.48;1.49;0.66
11;FALSE;FALSE;7;2;0;NA;NA;1.86;0.87;0.89
12;FALSE;FALSE;106;5;2;NA;7;0.61;2.12;0.44
13;FALSE;FALSE;81;1;2;NA;NA;1.55;0.55;0.1
14;FALSE;FALSE;181;5;1;NA;8;0.3;1.8;0.55
15;FALSE;FALSE;131;3;1;NA;NA;0.92;1.18;0.77
16;FALSE;FALSE;31;6;0;20;NA;2.17;2.43;0.32
17;FALSE;FALSE;137;6;0;13;NA;1.47;0.32;0.29
18;FALSE;FALSE;38;3;2;NA;NA;0.22;1.57;0.74
19;FALSE;FALSE;187;1;1;NA;NA;2.09;2.2;0.07
20;FALSE;FALSE;87;5;0;NA;8;0.84;0.95;0.52
21;FALSE;FALSE;112;2;0;NA;NA;2.4;1.26;0.86
22;FALSE;FALSE;13;6;1;6;NA;1.15;0.01;0.41
23;FALSE;FALSE;162;4;2;NA;NA;1.78;0.63;0.63
24;FALSE;FALSE;63;0;1;NA;NA;0.53;1.88;0.18
25;FALSE;FALSE;50;3;1;NA;NA;0.37;1.1;0.46
26;FALSE;FALSE;150;0;2;NA;NA;1.62;2.35;0.01
27;FALSE;FALSE;100;2;1;NA;NA;1;1.73;0.69
28;FALSE;FALSE;199;5;0;NA;6;2.25;0.48;0.24
29;FALSE;FALSE;25;1;0;NA;NA;0.69;2.04;0.13
30;FALSE;FALSE;125;4;2;NA;NA;1.94;0.79;0.58
31;FALSE;FALSE;174;3;1;NA;NA;1.31;1.41;0.8
32;FALSE;FALSE;171;4;0;NA;NA;1.58;0.05;0.7
33;FALSE;FALSE;72;0;1;NA;NA;0.33;1.3;0.25
34;FALSE;FALSE;122;2;2;NA;NA;2.21;1.92;0.48
35;FALSE;FALSE;22;6;1;4;NA;0.96;0.67;0.03
36;FALSE;FALSE;146;5;1;NA;2;1.27;0.98;0.14
37;FALSE;FALSE;47;1;0;NA;NA;0.02;2.23;0.59
38;FALSE;FALSE;97;3;2;NA;NA;0.65;0.36;0.81
39;FALSE;FALSE;196;0;0;NA;NA;1.9;1.61;0.36
40;TRUE;FALSE;10;0;2;NA;NA;0.8;1.45;0.31
41;FALSE;FALSE;109;4;1;NA;NA;2.05;0.2;0.76
42;FALSE;FALSE;159;2;2;NA;NA;1.43;2.08;0.53
43;FALSE;FALSE;59;5;0;NA;4;0.18;0.83;0.08
44;FALSE;FALSE;84;3;1;NA;NA;1.12;2.39;0.65
45;FALSE;FALSE;35;4;1;NA;NA;0.49;0.52;0.87
46;FALSE;FALSE;134;1;0;NA;NA;1.74;1.77;0.42
47;FALSE;FALSE;165;1;2;NA;NA;1.04;0.91;0.28
48;TRUE;FALSE;66;4;0;NA;NA;2.29;2.16;0.73
49;FALSE;FALSE;16;2;1;NA;NA;1.66;0.28;0.51
50;FALSE;FALSE;115;6;0;11;NA;0.41;1.53;0.06
51;FALSE;FALSE;140;2;1;NA;NA;0.73;0.59;0.62
52;FALSE;FALSE;41;5;2;NA;5;1.98;1.84;0.17
53;FALSE;FALSE;190;3;2;NA;NA;0.1;2.47;0.84
54;FALSE;FALSE;91;0;0;NA;NA;1.35;1.22;0.39
55;FALSE;FALSE;103;0;1;NA;NA;0.26;0.75;0.34
56;FALSE;FALSE;3;4;0;NA;NA;1.51;2;0.79
57;FALSE;FALSE;153;5;1;NA;4;0.88;1.38;0.11
58;FALSE;FALSE;53;2;2;NA;NA;2.13;0.13;0.56
59;FALSE;FALSE;178;3;0;NA;NA;0.57;0.44;0.67
60;TRUE;FALSE;28;1;1;NA;NA;2.44;1.06;0.45
