CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG;QUALITY
1;7.93528115421713;817023.140779639;5;53;128.8;0.26;0.640857200814901;10.7518220614449;243.078049611484;53;128.8;0.26;0.640857200814901;1.05283682991019
2;0.913460796730431;95322.3987964082;14;8;41.9285714285714;0.0503597122302158;0.305692800056489;7.49339158724303;123.06435885177;8;41.9285714285714;0.0503597122302158;0.305692800056489;0.305692800056489
3;0.906928868344997;164347.63332144;9;8;86.8888888888889;0.0374331550802139;0.498765395335795;11.4776597840163;166.465371660538;8;86.8888888888889;0.0374331550802139;0.498765395335795;0.676895893670007
4;6.93489883653986;16970639087.5267;5;99;159.4;0.49;0.799675794499985;14.9377516791793;3635362.36910021;99;159.4;0.49;0.799675794499985;1.31375309096426
5;7.36740474760443;23051339.3612224;7;16;99.2857142857143;0.0802139037433155;0.518971879743446;6.22131359945859;6722.06339177162;16;99.2857142857143;0.0802139037433155;0.518971879743446;0.77845781961517
6;0.782929045479041;68045.7629957468;13;7;48.6153846153846;0.03;0.361484558590152;6.05862827680901;123.026108818036;7;48.6153846153846;0.03;0.361484558590152;0.387304884203735
7;934.392169000198;16472963160.1421;5;174;197;0.971910112359551;0.980615625470219;86.2267051190026;14046843.6818242;174;197;0.971910112359551;0.980615625470219;1.61101138470107
8;125.850922024197;47577231860.4335;5;10;124.8;0.0481283422459893;0.609805155628685;17.0334408520377;10192685.7946987;10;124.8;0.0481283422459893;0.609805155628685;1.0018227556757
9;6.49514113479998;545143.687591501;7;4;112.285714285714;0.015;0.589791108069955;3.86928665800207;332.189675486254;4;112.285714285714;0.015;0.589791108069955;0.884686662104932
10;4.06484995666001;321113.531915631;5;80;124;0.395;0.621766092466687;17.2883799622697;127.106428039945;80;124;0.395;0.621766092466687;1.02147286619527
11;38.3877855355738;15287413907.3988;5;70;132.8;0.345;0.658671327644229;15.2137029670185;3275070.75905272;70;132.8;0.345;0.658671327644229;1.08210289541552
12;3.95185195296998;5517365827.5366;5;69;121.4;0.34;0.608743684750294;9.19315859717918;1181900.80808136;69;121.4;0.34;0.608743684750294;1.0000789106612
13;170.997553439517;16964345644.1347;5;176;195;0.944444444444444;0.971961952639415;90.8309815219418;3635566.45465404;176;195;0.944444444444444;0.971961952639415;1.59679463647904
14;81.72485915895;10456105228.578;5;93;166;0.491978609625668;0.821523350850515;48.73858924786;2240553.1842586;93;166;0.491978609625668;0.821523350850515;1.3496455049687
15;10.6507565004355;1295882.22990489;5;10;124.2;0.045;0.617037628817536;5.51014428385025;370.125982492845;10;124.2;0.045;0.617037628817536;1.01370467591452
16;3.34645907220506;137024.824717945;7;62;92.2857142857143;0.32620320855615;0.478943648629684;38.1492519494176;172.504602608699;62;92.2857142857143;0.32620320855615;0.478943648629684;0.718415472944526
17;91.4583473861488;15727984028.7504;5;173;191.2;0.931623931623932;0.952818507408726;65.4617666976359;3369992.91632904;173;191.2;0.931623931623932;0.952818507408726;1.56534469074291
18;81.0161862457893;167345.89346931;5;24;119.8;0.122994652406417;0.571432888034342;36.7192830171657;758.703438181398;24;119.8;0.122994652406417;0.571432888034342;0.938782601770705
19;3.32451356653176;306111297.460645;5;75;130.2;0.316239316239316;0.659997487714606;43.3347683713668;65619.2226889229;75;130.2;0.316239316239316;0.659997487714606;1.08428158695971
20;6.03515201873595;1006974.43368375;5;52;125.6;0.255;0.626279308412818;10.6599095169224;264.943140549584;52;125.6;0.255;0.626279308412818;1.02888743524963
21;79.8849060255344;14679658329.9779;5;125;169.2;0.62;0.844112611703491;35.2871670285789;3145280.47332926;125;169.2;0.62;0.844112611703491;1.38675643351288
22;5.0990336784317;557384.030762792;7;5;97.1428571428571;0.02;0.507003535161174;4.25836490429743;279.246388043633;5;97.1428571428571;0.02;0.507003535161174;0.76050530274176
23;19.1469823773778;7021825544.48883;5;105;151.6;0.52;0.755422986281545;28.597560670162;1504343.8415503;105;151.6;0.52;0.755422986281545;1.24105204889111
24;0.936702370196831;105570.284844783;9;13;81.7777777777778;0.0805369127516778;0.465406101968173;34.4562025270751;128.192631745345;13;81.7777777777778;0.0805369127516778;0.465406101968173;0.631622566956806
25;5.00905582219108;1978832126.54094;5;88;135.6;0.435;0.679625292017229;22.2325625732735;423951.395420319;88;135.6;0.435;0.679625292017229;1.11652726545688
26;14.7697993724523;7059046637.03178;5;73;130.6;0.385026737967914;0.645399278257176;29.682581554168;1512243.46715538;73;130.6;0.385026737967914;0.645399278257176;1.06029881427965
27;4.0738855227987;252084.771859999;5;40;121.2;0.195;0.604177110471228;9.14249946294218;109.677602097385;40;121.2;0.195;0.604177110471228;0.992576681488446
28;80.7968289189616;8776136478.03055;5;123;169;0.6524064171123;0.838942917917802;45.465143223167;1880687.69213154;123;169;0.6524064171123;0.838942917917802;1.37826336515068
29;544.278527497781;14387760527.0712;5;170;194.2;0.949438202247191;0.966778220457665;86.1141633600642;3086945.8594335;170;194.2;0.949438202247191;0.966778220457665;1.58827850503759
30;10.127971507167;1325145.289068;7;23;97.2857142857143;0.11;0.497810254738367;7.26289026827767;522.04958042867;23;97.2857142857143;0.11;0.497810254738367;0.74671538210755
31;4.29449327660686;376155.686701437;7;34;94.2857142857143;0.175;0.495582437610285;8.60928335122542;37790.5911759005;34;94.2857142857143;0.175;0.495582437610285;0.743373656415427
32;20.8490769084117;2816261031.04222;5;59;120.2;0.310160427807487;0.590754163733014;16.3840216200416;603441.428729031;59;120.2;0.310160427807487;0.590754163733014;0.97052469756138
33;3.54345749196031;207011.004986946;7;60;103.571428571429;0.295;0.556895807743585;9.39149263536324;328.972700954889;60;103.571428571429;0.295;0.556895807743585;0.835343711615378
34;9.21490673409668;5559469.27869172;7;7;100.142857142857;0.03;0.521945860959742;4.80388374657838;1630.23504144176;7;100.142857142857;0.03;0.521945860959742;0.782918791439614
35;4.44845267245911;6334901736.28952;5;100;148;0.495;0.746017979376869;26.9561907395015;1357078.75964975;100;148;0.495;0.746017979376869;1.22560096611914
36;87.0291463676154;8677757971.02747;5;63;153.6;0.331550802139037;0.75619520796454;39.450209836967;1859652.52903012;63;153.6;0.331550802139037;0.75619520796454;1.24232069879889
37;5.95306459707641;384968.647324783;7;30;114;0.145;0.601340704856271;8.06262416318402;310.04893141318;30;114;0.145;0.601340704856271;0.902011057284407
38;0.973192295825165;264999.303704292;9;2;93.8888888888889;0.0053475935828877;0.553699039772811;7.35856416840746;243.52368722788;2;93.8888888888889;0.0053475935828877;0.553699039772811;0.75144869683453
39;3.06435381013366;4267001171.50595;5;42;125.6;0.175213675213675;0.641730651884651;36.0333187347589;914077.371383531;42;125.6;0.175213675213675;0.641730651884651;1.05427178523907
40;6.4534307856176;1312561885.94094;7;36;118.857142857143;0.18716577540107;0.629662363890634;16.9279132991428;16346137.3019223;36;118.857142857143;0.18716577540107;0.629662363890634;0.944493545835952
41;3.2720808809456;4213023699.40665;7;57;124.857142857143;0.28;0.676702279993601;8.2408043823773;264018178.244329;57;124.857142857143;0.28;0.676702279993601;1.0150534199904
42;3.71291964526488;16386271.6464351;7;28;101.571428571429;0.135;0.543870613380883;6.88389360633268;69842.3375640276;28;101.571428571429;0.135;0.543870613380883;0.815805920071325
43;3.84141621092426;731882.663871677;5;22;116.2;0.112299465240642;0.576490527831572;36.274683751842;194.782343479402;22;116.2;0.112299465240642;0.576490527831572;0.947091581437583
44;84.868251235164;1742990537.3311;5;87;133;0.43;0.653533501161393;22.0066260478607;374110.747869599;87;133;0.43;0.653533501161393;1.07366218047943
45;8.91084738808653;381728.313224386;7;7;100.857142857143;0.0320855614973262;0.515071198471068;9.75412702756769;258.207346785182;7;100.857142857143;0.0320855614973262;0.515071198471068;0.772606797706601
46;5.13431016906358;495863.35460861;5;27;124;0.13;0.618324934227115;7.81910660662455;168.772750702552;27;124;0.13;0.618324934227115;1.01581953480169
47;316.377112387376;16565435197.4081;5;175;193.2;0.946524064171123;0.962408721410043;81.2825618307806;3551385.27550701;175;193.2;0.946524064171123;0.962408721410043;1.5811000423165
48;51.3786361615622;7026460011.23376;5;55;129;0.288770053475936;0.63486195269077;14.8089179597296;1505603.3134578;55;129;0.288770053475936;0.63486195269077;1.04298749370626
49;4.17094075046032;2421864498.13455;7;39;110.142857142857;0.19;0.593377052217829;9.0625345237392;171884543.432477;39;110.142857142857;0.19;0.593377052217829;0.890065578326743
50;3.46044219364058;136923.17157563;7;52;101.285714285714;0.278688524590164;0.530984358412644;25.877079558649;202.413698270817;52;101.285714285714;0.278688524590164;0.530984358412644;0.796476537618966
51;5.52230726698019;1716311453.35008;5;4;116;0.0160427807486631;0.570005636722094;19.4152846647211;367699.520576111;4;116;0.0160427807486631;0.570005636722094;0.936437831757726
52;3.33387402690506;147586.797693504;7;30;89.5714285714286;0.145;0.480629203929392;7.06505446276044;237.150195726957;30;89.5714285714286;0.145;0.480629203929392;0.720943805894088
53;3.83587003211852;981209387.904619;5;107;135.6;0.478632478632479;0.686605063292439;29.5287815312891;210252.360433362;107;135.6;0.478632478632479;0.686605063292439;1.12799403255186
54;4.15404873930741;263683.486834021;7;41;94.7142857142857;0.213903743315508;0.500342623698953;10.1133896796389;254.578349310451;41;94.7142857142857;0.213903743315508;0.500342623698953;0.75051393554843
55;80.9324160245687;182383.409204275;5;62;151;0.342696629213483;0.737542616669517;44.4808378723038;781.35505090538;62;151;0.342696629213483;0.737542616669517;1.21167715595706
56;3.00518037545475;2085597757.92579;5;32;129.2;0.132478632478632;0.661847886563022;33.4064814962886;446803.488235089;32;129.2;0.132478632478632;0.661847886563022;1.08732152792496
57;4.08138042576218;136006.658233115;7;38;88.4285714285714;0.185;0.463762530941829;8.91349444023878;213.622492463259;38;88.4285714285714;0.185;0.463762530941829;0.695643796412744
58;21.3435092956235;11110602993.4791;5;84;134;0.443850267379679;0.663200765086423;23.2603935407867;2380202.59529315;84;134;0.443850267379679;0.663200765086423;1.08954411407055
59;3.89635284171296;164110.883224069;7;72;103.142857142857;0.355;0.543282044034771;9.35405286016709;340.756857186161;72;103.142857142857;0.355;0.543282044034771;0.814923066052156
60;13.1335694061174;2700363.30450368;7;18;106.857142857143;0.0909090909090909;0.561151535480104;6.57021343161217;15519.9109390444;18;106.857142857143;0.0909090909090909;0.561151535480104;0.841727303220156
61;4.13268958302193;1907132057.42918;7;47;117.857142857143;0.245989304812834;0.630280868679416;12.8882767314991;72554266.8781055;47;117.857142857143;0.245989304812834;0.630280868679416;0.945421303019124
62;295.062230720295;17513365078.9343;5;178;195.2;0.948717948717949;0.973411438088239;77.4006657616118;3754275.22120433;178;195.2;0.948717948717949;0.973411438088239;1.59917593400211
63;6.04974390323604;132707250.65625;7;50;109.857142857143;0.262032085561497;0.571173143732005;17.4695668908099;46001.230046585;50;109.857142857143;0.262032085561497;0.571173143732005;0.856759715598007
64;8.67625617717548;1090984.88788105;7;6;94.1428571428571;0.0267379679144385;0.478442887933912;11.2450259704347;427.555856398929;6;94.1428571428571;0.0267379679144385;0.478442887933912;0.717664331900868
65;10.827147900697;3432830302.2628;5;85;126.6;0.449197860962567;0.625949530897978;18.7069038859126;735430.642297525;85;126.6;0.449197860962567;0.625949530897978;1.02834565790382
66;74.4634018131956;9870101150.47066;5;95;153.4;0.47;0.760314330965355;13.00571224482;2114947.65007889;95;153.4;0.47;0.760314330965355;1.24908782944308
67;0.797196380151254;98343.9718205582;9;17;75.8888888888889;0.087431693989071;0.429004043882047;34.7427723012807;130.64903203371;17;75.8888888888889;0.087431693989071;0.429004043882047;0.582219773839921
68;3.88597763162114;177368.751209399;5;102;119.6;0.495726495726496;0.680085444974851;72.506984020688;280961.395396344;102;119.6;0.495726495726496;0.680085444974851;1.11728323103011
69;3.96289105509653;231350502.833046;5;48;111.4;0.338129496402878;0.623697273062433;70.014659167571;366400052.259868;48;111.4;0.338129496402878;0.623697273062433;1.02464552003114
70;5.23502770458875;154.520033714909;5;87;120;0.53551912568306;0.662518746082779;132.394245719476;283.156112918793;87;120;0.53551912568306;0.662518746082779;1.08842365427885
71;0.811425663440259;97492.7472858542;11;11;62.4545454545455;0.055;0.378364750973546;5.82324356907467;154.327097828109;11;62.4545454545455;0.055;0.378364750973546;0.459442911896449
72;8.00731525580439;871.805887002892;5;19;106.2;0.0962566844919786;0.594302230956375;35.4382426821262;1486.1988706519;19;106.2;0.0962566844919786;0.594302230956375;0.976353665142616
73;18.0852913059243;2322159.89860776;5;55;130.4;0.388489208633094;0.706450764707212;105.589145655717;3678552.01912482;55;130.4;0.388489208633094;0.706450764707212;1.16059768487613
74;652.775040705871;4246718327.02267;5;137;177.4;0.97841726618705;0.988248994565191;506.335220489043;6742495274.69083;137;177.4;0.97841726618705;0.988248994565191;1.62355191964281
75;733.830286369589;2830007814.52294;5;139;175.4;0.965811965811966;0.979047039038182;422.317498001406;4481898761.31793;139;175.4;0.965811965811966;0.979047039038182;1.60843442127701
76;4.7493880938853;666990.751671282;5;100;133.4;0.632478632478632;0.745840765396271;110.83564901482;1056375.97592905;100;133.4;0.632478632478632;0.745840765396271;1.2253098288653
77;0.923475660389556;157449.227926127;9;22;74.1111111111111;0.131147540983607;0.420282693868347;10.2790194678544;126.146462449382;22;74.1111111111111;0.131147540983607;0.420282693868347;0.570383655964185
78;24.8937876904538;150.00630525044;5;80;126.2;0.422459893048128;0.702404368570369;71.9245032815878;1075.25071068987;80;126.2;0.422459893048128;0.702404368570369;1.15395003407989
79;0.770419838343484;48625.8207433838;13;5;52;0.0224719101123595;0.385623450733453;7.18168835443919;241.058229199548;5;52;0.0224719101123595;0.385623450733453;0.413167982928699
80;1.01059601725048;335093.063579566;9;12;87.2222222222222;0.0588235294117647;0.499490698327408;10.6263877805588;201.699546578059;12;87.2222222222222;0.0588235294117647;0.499490698327408;0.677880233444339
81;506.244947815703;1266021052.02761;5;136;172.6;0.939597315436242;0.960567866540478;405.329412896883;2006088009.51096;136;172.6;0.939597315436242;0.960567866540478;1.57807578074507
82;3.44133352762749;207.649592588064;5;66;98.8;0.367521367521368;0.558869953435725;52.7682668653534;332.125235546439;66;98.8;0.367521367521368;0.558869953435725;0.918143494930119
83;0.878782695914793;123758.36061775;9;42;81.2222222222222;0.205;0.482539097330867;8.68755711313544;191.804835187806;42;81.2222222222222;0.205;0.482539097330867;0.654874489234748
84;3.19761832050431;445528011.564769;5;59;106.8;0.264957264957265;0.617176663723766;41.9492196843593;705600962.634045;59;106.8;0.264957264957265;0.617176663723766;1.01393309040333
85;5.92505538886053;27381625.6307349;5;128;147.8;0.696581196581197;0.835523685650459;141.40907241676;43364816.9677833;128;147.8;0.696581196581197;0.835523685650459;1.37264605499718
86;3.95488318500929;229255.168412047;5;101;135.6;0.521367521367521;0.773711234736893;75.5658511383322;363647.767457042;101;135.6;0.521367521367521;0.773711234736893;1.27109702849632
87;9.42118711494669;204.068612932921;5;111;142.6;0.601092896174863;0.800540508390855;148.275195531698;479.32129258503;111;142.6;0.601092896174863;0.800540508390855;1.3151736923564
88;3.02619499260539;162738509.200103;5;29;84.4;0.14957264957265;0.490630040504664;34.3393659770194;257736146.730423;29;84.4;0.14957264957265;0.490630040504664;0.806035066543377
89;0.97403121097349;307875.615986995;9;18;84;0.114093959731544;0.475092116785817;9.91461959071097;178.566396146363;18;84;0.114093959731544;0.475092116785817;0.644767872780752
90;8.68412184496647;1462647429.14165;5;102;140.8;0.540106951871658;0.789636290740573;113.586823997675;2316392561.82851;102;140.8;0.540106951871658;0.789636290740573;1.29725962050237
91;6.54872364769794;173.437311221415;5;104;137;0.562841530054645;0.769355861756697;146.015150672284;393.257855218946;104;137;0.562841530054645;0.769355861756697;1.263941772886
